date,open,high,low,close,volume
1998-06-19,0.1970,0.2069,0.1872,0.1970,61454400
1998-06-22,0.1958,0.1996,0.1945,0.1970,6979200
1998-06-23,0.1964,0.1996,0.1896,0.1970,9638400
1998-06-24,0.1970,0.2019,0.1945,0.2019,1732800
1998-06-25,0.2069,0.2315,0.2057,0.2216,18417600
1998-06-26,0.2242,0.2512,0.2205,0.2390,10267200
1998-06-29,0.2390,0.2537,0.2390,0.2451,4588800
1998-06-30,0.2500,0.2500,0.2340,0.2376,4747200
1998-07-01,0.2364,0.2390,0.2340,0.2340,16401600
1998-07-02,0.2364,0.2390,0.2340,0.2364,3355200
1998-07-06,0.2390,0.2390,0.2340,0.2390,2208000
1998-07-07,0.2390,0.2390,0.2340,0.2376,3652800
1998-07-08,0.2390,0.2390,0.2340,0.2390,1286400
1998-07-09,0.2376,0.3079,0.2364,0.2784,14769600
1998-07-10,0.2784,0.2857,0.2784,0.2833,1291200
1998-07-13,0.2894,0.2906,0.2721,0.2721,5025600
1998-07-14,0.2758,0.3004,0.2709,0.2981,5457600
1998-07-15,0.3054,0.3497,0.3030,0.3152,8016000
1998-07-16,0.3140,0.3201,0.2955,0.3079,4713600
1998-07-17,0.3103,0.3178,0.3054,0.3178,974400
1998-07-20,0.3178,0.3459,0.3152,0.3325,5347200
1998-07-21,0.3497,0.3645,0.3448,0.3522,10684800
1998-07-22,0.3595,0.3621,0.3054,0.3424,4641600
1998-07-23,0.3424,0.3522,0.3103,0.3325,2116800
1998-07-24,0.3325,0.3325,0.3054,0.3178,1881600
1998-07-27,0.3152,0.3201,0.3030,0.3178,46747200
1998-07-28,0.3178,0.3178,0.2931,0.3030,3052800
1998-07-29,0.3103,0.3152,0.2955,0.3152,2534400
1998-07-30,0.3128,0.3227,0.3030,0.3227,3014400
1998-07-31,0.3251,0.3251,0.3079,0.3152,921600
1998-08-03,0.3103,0.3178,0.3079,0.3128,4032000
1998-08-04,0.3140,0.3213,0.3079,0.3140,3633600
1998-08-05,0.3152,0.3497,0.3128,0.3262,8592000
1998-08-06,0.3190,0.3227,0.3152,0.3164,211200
1998-08-07,0.3312,0.3448,0.3288,0.3349,3302400
1998-08-10,0.3572,0.3572,0.3325,0.3361,2184000
1998-08-11,0.3424,0.3424,0.3054,0.3325,2265600
1998-08-12,0.3424,0.3424,0.3054,0.3349,1320000
1998-08-13,0.3448,0.3522,0.3398,0.3448,1699200
1998-08-14,0.3473,0.3546,0.3448,0.3522,2092800
1998-08-17,0.3509,0.3509,0.3398,0.3424,2284800
1998-08-18,0.3497,0.3853,0.3497,0.3743,9902400
1998-08-19,0.3818,0.3867,0.3694,0.3694,6028800
1998-08-20,0.3743,0.3818,0.3621,0.3621,1041600
1998-08-21,0.3497,0.3546,0.3251,0.3546,3796800
1998-08-24,0.3720,0.3720,0.3361,0.3522,2697600
1998-08-25,0.3645,0.3792,0.3607,0.3720,4881600
1998-08-26,0.3558,0.3633,0.3448,0.3459,6859200
1998-08-27,0.3276,0.3448,0.3030,0.3103,7881600
1998-08-28,0.3103,0.3201,0.2931,0.3054,4603200
1998-08-31,0.3103,0.3103,0.2364,0.2364,6499200
1998-09-01,0.2439,0.3128,0.2277,0.2955,5654400
1998-09-02,0.2981,0.3276,0.2857,0.2931,4756800
1998-09-03,0.2561,0.2857,0.2561,0.2807,2174400
