date,open,high,low,close,volume
1995-03-09,1.0943,1.1193,1.0864,1.1108,2101798
1995-03-10,1.1358,1.1852,1.1108,1.1602,2831406
1995-03-13,1.1852,1.1852,1.1523,1.1523,981796
1995-03-14,1.1852,1.2016,1.1523,1.1687,1028999
1995-03-15,1.1687,1.2346,1.1358,1.2016,4978994
1995-03-16,1.2346,1.2510,1.1687,1.1687,899404
1995-03-17,1.1687,1.2016,1.1687,1.1687,1730995
1995-03-20,1.1687,1.2056,1.1687,1.1687,1728003
1995-03-21,1.1937,1.2181,1.1766,1.1766,3614397
1995-03-22,1.1852,1.2181,1.1766,1.1852,3474794
1995-03-23,1.2016,1.2016,1.1766,1.1937,2789002
1995-03-24,1.2181,1.2181,1.1852,1.1937,534797
1995-03-27,1.2181,1.2840,1.1937,1.2675,772193
1995-03-28,1.2675,1.3333,1.2346,1.3333,1257206
1995-03-29,1.3333,1.3827,1.2346,1.2840,1634600
1995-03-30,1.2840,1.3498,1.2510,1.3169,1085405
1995-03-31,1.3498,1.3827,1.3004,1.3498,552597
1995-04-03,1.3827,1.4979,1.3663,1.4486,3177802
1995-04-04,1.4486,1.4815,1.3827,1.3827,1746001
1995-04-05,1.3827,1.4486,1.3827,1.4407,1278195
1995-04-06,1.4407,1.4407,1.4156,1.4156,1328405
1995-04-07,1.4407,1.4407,1.3748,1.4156,746997
1995-04-10,1.3748,1.4242,1.3748,1.4242,213202
1995-04-11,1.4242,1.4321,1.3827,1.4321,82802
1995-04-12,1.3992,1.4321,1.3992,1.3992,1741399
1995-04-13,1.3992,1.4321,1.3992,1.4321,29995
1995-04-17,1.4321,1.4407,1.3992,1.3992,200004
1995-04-18,1.3992,1.4321,1.3827,1.3827,990802
1995-04-19,1.4321,1.4321,1.3827,1.4321,145800
1995-04-20,1.4077,1.4156,1.3748,1.3748,175795
1995-04-21,1.3748,1.4156,1.3748,1.3748,251399
1995-04-24,1.3748,1.3748,1.3748,1.3748,5604
1995-04-25,1.3663,1.3913,1.3412,1.3498,911007
1995-04-26,1.3412,1.3748,1.3333,1.3412,352198
1995-04-27,1.3412,1.3992,1.3412,1.3992,1197200
1995-04-28,1.3827,1.4979,1.3663,1.4815,850394
1995-05-01,1.4486,1.5473,1.4486,1.5309,943994
1995-05-02,1.5473,1.6296,1.5309,1.5802,1326795
1995-05-03,1.6296,1.6296,1.5802,1.6132,279799
1995-05-04,1.5802,1.6132,1.5802,1.6132,58396
1995-05-05,1.5802,1.6132,1.5638,1.6132,717199
1995-05-08,1.5638,1.6132,1.5638,1.5888,133407
1995-05-09,1.6132,1.6132,1.5638,1.5888,58396
1995-05-10,1.5638,1.6132,1.5638,1.6132,9796
1995-05-11,1.5638,1.5967,1.5638,1.5638,20594
1995-05-12,1.5638,1.6626,1.5638,1.6626,507794
1995-05-15,1.6461,1.7119,1.6461,1.6626,571399
1995-05-16,1.6955,1.7119,1.6626,1.6869,1141994
1995-05-17,1.6790,1.6869,1.6790,1.6869,738796
1995-05-18,1.6626,1.6705,1.5144,1.5473,1239604
1995-05-19,1.5802,1.5802,1.5559,1.5802,102804
1995-05-22,1.5638,1.5802,1.5309,1.5309,155596
1995-05-23,1.5309,1.5802,1.5309,1.5802,204196
1995-05-24,1.5802,1.5802,1.4156,1.4486,1000203
1995-05-25,1.4979,1.4979,1.4486,1.4486,17997
1995-05-26,1.4979,1.4979,1.4486,1.4979,48797
1995-05-30,1.4650,1.4979,1.4486,1.4486,81208
1995-05-31,1.4486,1.4815,1.4486,1.4815,118994
1995-06-01,1.4979,1.4979,1.4486,1.4486,136202
1995-06-02,1.4486,1.4979,1.4486,1.4729,39002
1995-06-05,1.4979,1.5144,1.4486,1.4979,194597
1995-06-06,1.5309,1.5309,1.4979,1.4979,127195
1995-06-07,1.5144,1.5638,1.4979,1.5638,558794
1995-06-08,1.5638,1.6626,1.5638,1.6461,445799
1995-06-09,1.6461,1.6626,1.6132,1.6296,331999
1995-06-12,1.6626,1.6626,1.6296,1.6461,214994
1995-06-13,1.6626,1.6626,1.6296,1.6296,28203
1995-06-14,1.6296,1.6540,1.6296,1.6296,36207
1995-06-15,1.6626,1.6626,1.6296,1.6296,24194
1995-06-16,1.6296,1.6626,1.6296,1.6461,9796
1995-06-19,1.6296,1.6461,1.5638,1.5723,372808
1995-06-20,1.6132,1.6132,1.5802,1.5967,180002
1995-06-21,1.5888,1.6132,1.5802,1.5802,79400
1995-06-22,1.5638,1.5802,1.5473,1.5802,781397
1995-06-23,1.5802,1.6790,1.5473,1.6461,479606
1995-06-26,1.6461,1.6500,1.6375,1.6375,32608
1995-06-27,1.6375,1.6790,1.6375,1.6790,51197
1995-06-28,1.6375,1.6955,1.6375,1.6955,166394
1995-06-29,1.6955,1.7034,1.6461,1.6955,84807
1995-06-30,1.7119,1.7699,1.7034,1.7449,437400
1995-07-03,1.7449,1.7449,1.7449,1.7449,6607
1995-07-05,1.7449,1.7613,1.7198,1.7613,1101808
1995-07-06,1.7778,1.8436,1.7449,1.8028,588804
1995-07-07,1.8272,1.8272,1.7778,1.8028,216194
1995-07-10,1.8272,1.8272,1.7778,1.7778,60598
1995-07-11,1.8272,1.9095,1.8272,1.9095,383393
1995-07-12,1.9095,1.9095,1.8765,1.9095,28203
1995-07-13,1.9259,1.9918,1.9095,1.9918,474199
1995-07-14,1.9918,1.9918,1.9588,1.9918,91793
1995-07-17,1.9918,2.0247,1.9588,1.9753,200004
1995-07-18,2.0247,2.0247,1.9753,2.0082,170404
1995-07-19,2.0082,2.0082,1.9259,1.9259,222603
1995-07-20,1.9259,1.9259,1.9095,1.9095,9796
1995-07-21,1.9095,1.9424,1.9095,1.9259,901803
1995-07-24,1.9259,1.9259,1.9095,1.9259,142201
1995-07-25,1.9588,1.9588,1.9095,1.9095,275608
1995-07-26,1.9588,1.9588,1.9259,1.9588,385201
1995-07-27,1.9753,1.9753,1.9259,1.9753,88999
1995-07-28,1.9753,1.9753,1.9259,1.9259,275608
1995-07-31,1.9259,2.0082,1.9259,1.9918,145800
1995-08-01,1.9839,2.0082,1.9588,2.0082,1224796
1995-08-02,1.9753,1.9753,1.9588,1.9588,24194
1995-08-03,1.9588,1.9674,1.9588,1.9674,221403
1995-08-04,1.9588,1.9588,1.9259,1.9259,160395
1995-08-07,1.8930,1.9259,1.8930,1.8930,85399
1995-08-08,1.8930,1.9180,1.8930,1.9180,6607
1995-08-09,1.8930,1.9424,1.8930,1.9095,28203
1995-08-10,1.9424,1.9424,1.8930,1.9180,16205
1995-08-11,1.8930,1.9424,1.8601,1.8601,272995
1995-08-14,1.8601,1.8601,1.7942,1.7942,218594
1995-08-15,1.8107,1.8107,1.8107,1.8107,3797
1995-08-16,1.7942,1.8028,1.7942,1.7942,342797
1995-08-17,1.7778,1.8186,1.7778,1.8186,275608
1995-08-18,1.8272,1.9753,1.8272,1.9753,465603
1995-08-21,2.0082,2.0082,1.9588,2.0082,136202
1995-08-22,1.9588,2.0082,1.9588,2.0082,61206
1995-08-23,1.9588,1.9674,1.8844,1.9180,1399802
1995-08-24,1.8930,2.0003,1.8765,1.9674,14754003
1995-08-25,1.9674,2.0082,1.9424,1.9753,1746001
1995-08-28,1.9424,1.9753,1.9424,1.9424,356405
1995-08-29,1.9424,1.9753,1.9095,1.9424,1624394
1995-08-30,1.9095,1.9588,1.9095,1.9424,547206
1995-08-31,1.9549,2.0082,1.9259,1.9588,966593
1995-09-01,1.9588,2.0247,1.9588,1.9588,56999
1995-09-05,1.9588,2.0003,1.9588,1.9918,304206
1995-09-06,1.9588,2.0247,1.9588,2.0082,139406
1995-09-07,1.9753,2.0247,1.9753,1.9753,234799
1995-09-08,1.9753,2.0247,1.9753,1.9918,526399
1995-09-11,1.9918,2.0247,1.9918,2.0161,11998
1995-09-12,1.9918,2.0247,1.9918,1.9918,392597
1995-09-13,2.0082,2.0161,1.9918,1.9918,257595
1995-09-14,1.9918,2.0576,1.9918,2.0326,595806
1995-09-15,2.0576,2.0905,2.0082,2.0820,431006
1995-09-18,2.0905,2.0905,2.0412,2.0412,64805
1995-09-19,2.0412,2.2137,2.0412,2.2137,1601400
1995-09-20,2.1893,2.2881,2.1893,2.2137,959607
1995-09-21,2.1893,2.3868,2.1893,2.2881,2940194
1995-09-22,2.2551,2.2551,2.1235,2.1972,738796
1995-09-25,2.1564,2.1893,2.1564,2.1893,1135797
1995-09-26,2.2058,2.2058,2.1564,2.1972,388997
1995-09-27,2.1564,2.1564,1.9259,2.0412,1774204
1995-09-28,2.0741,2.1893,2.0741,2.1399,1096203
1995-09-29,2.1399,2.2387,2.1399,2.2387,705004
1995-10-02,2.2301,2.2551,2.2058,2.2551,541207
1995-10-03,2.2058,2.2058,2.0247,2.1070,1099195
1995-10-04,2.0741,2.0741,1.9259,1.9918,1895400
1995-10-05,1.9588,2.0576,1.9588,2.0082,306195
1995-10-06,2.0082,2.0741,2.0082,2.0247,772193
1995-10-09,2.0247,2.0576,1.9588,1.9753,714602
1995-10-10,1.9588,1.9588,1.9424,1.9424,437597
1995-10-11,1.9753,1.9753,1.9424,1.9753,21794
1995-10-12,1.9424,1.9918,1.9424,1.9753,1269204
1995-10-13,1.9588,2.0082,1.9588,2.0082,937995
1995-10-16,2.0082,2.0082,1.9424,1.9753,886798
1995-10-17,1.9259,1.9753,1.9095,1.9180,198197
1995-10-18,1.9424,1.9424,1.9095,1.9424,16205
1995-10-19,1.9095,1.9424,1.9095,1.9424,16205
1995-10-20,1.9424,1.9424,1.9095,1.9424,263594
1995-10-23,1.9424,1.9424,1.9095,1.9095,176600
1995-10-24,1.9424,1.9424,1.8765,1.8765,61206
1995-10-25,1.9095,1.9095,1.8765,1.8844,989997
1995-10-26,1.8765,1.9095,1.8436,1.8765,1174799
1995-10-27,1.8107,1.8107,1.7613,1.7699,571399
1995-10-30,1.7942,1.7942,1.7534,1.7863,251399
1995-10-31,1.8107,1.8107,1.7284,1.7778,747802
1995-11-01,1.7284,1.7613,1.6296,1.7534,1436403
1995-11-02,1.7613,1.8107,1.7284,1.8028,3307397
1995-11-03,1.8107,1.8107,1.7942,1.8107,653594
1995-11-06,1.7778,1.8107,1.7778,1.7778,145997
1995-11-07,1.8107,1.8107,1.7778,1.7778,705004
1995-11-08,1.7863,1.8107,1.7778,1.7778,216194
1995-11-09,1.7778,1.8272,1.7699,1.7699,1197200
1995-11-10,1.7613,1.7613,1.7119,1.7119,753604
1995-11-13,1.6955,1.6955,1.6790,1.6790,151404
1995-11-14,1.7034,1.7284,1.6790,1.7034,1682395
1995-11-15,1.6994,1.7284,1.6869,1.7119,109806
1995-11-16,1.6994,1.7284,1.6994,1.7034,102804
1995-11-17,1.7284,1.7778,1.7119,1.7778,157798
1995-11-20,1.7778,1.7778,1.7284,1.7699,259205
1995-11-21,1.7778,1.7778,1.7284,1.7778,640199
1995-11-22,1.7284,1.7778,1.7284,1.7778,11998
1995-11-24,1.7284,1.7778,1.7284,1.7778,719402
1995-11-27,1.7284,1.7613,1.7284,1.7284,127195
1995-11-28,1.7284,1.7534,1.7284,1.7534,204196
1995-11-29,1.7613,1.7942,1.7449,1.7449,140393
1995-11-30,1.7449,1.8436,1.7449,1.8436,328399
1995-12-01,1.8436,1.8930,1.8272,1.8765,538397
1995-12-04,1.8930,1.9259,1.8930,1.9095,254998
1995-12-05,1.9753,2.0576,1.9424,1.9753,826397
1995-12-06,2.0247,2.0247,1.9424,1.9424,286193
1995-12-07,1.9918,1.9918,1.9424,1.9509,425007
1995-12-08,1.9753,1.9753,1.8765,1.8844,740998
1995-12-11,1.8765,1.8844,1.8765,1.8844,105599
1995-12-12,1.8765,1.9259,1.8765,1.8765,591599
1995-12-13,1.8765,1.9259,1.8765,1.8765,1024397
1995-12-14,1.8765,1.9259,1.8765,1.8765,234799
1995-12-15,1.9259,1.9259,1.8272,1.8601,477799
1995-12-18,1.8107,1.8272,1.6955,1.7449,1814405
1995-12-19,1.7119,1.7119,1.5677,1.5677,1548806
1995-12-20,1.5967,1.6296,1.5309,1.5638,2211194
1995-12-21,1.5638,1.5638,1.5144,1.5309,2551394
1995-12-22,1.5638,1.5638,1.4486,1.4486,507794
1995-12-26,1.4815,1.4979,1.4486,1.4894,4854593
1995-12-27,1.5309,1.6626,1.5223,1.6375,3032002
1995-12-28,1.6626,1.6790,1.6296,1.6790,850804
1995-12-29,1.6790,1.6790,1.6296,1.6296,441197
1996-01-02,1.6626,1.6626,1.6132,1.6461,4888203
1996-01-03,1.6461,1.6790,1.6132,1.6790,100997
1996-01-04,1.6955,1.8930,1.6955,1.8272,1141994
1996-01-05,1.8765,1.8930,1.8272,1.8930,1244995
1996-01-08,1.8765,1.8765,1.8515,1.8515,11998
1996-01-09,1.8930,1.8930,1.8272,1.8311,589807
1996-01-10,1.8765,1.8765,1.8107,1.8186,1405801
1996-01-11,1.7942,1.8436,1.7942,1.7942,2651403
1996-01-12,1.8601,1.8601,1.7942,1.8515,345804
1996-01-15,1.8515,1.8765,1.8351,1.8515,1563599
1996-01-16,1.8930,1.9424,1.8930,1.9424,573602
1996-01-17,2.0576,2.1235,2.0412,2.0412,4315802
1996-01-18,2.0741,2.0905,2.0247,2.0905,2049599
1996-01-19,2.0905,2.0905,2.0576,2.0576,668007
1996-01-22,2.0905,2.0905,2.0576,2.0866,324208
1996-01-23,2.1070,2.2716,2.1070,2.2716,2961001
1996-01-24,2.1728,2.3868,2.1564,2.3460,2199606
1996-01-25,2.3210,2.4691,2.3210,2.3374,2271807
1996-01-26,2.3704,2.3868,2.3045,2.3704,1706604
1996-01-29,2.3374,2.3704,2.2716,2.3045,1458000
1996-01-30,2.2551,2.3210,2.2551,2.3045,297204
1996-01-31,2.2551,2.3210,2.2551,2.3210,716607
1996-02-01,2.2881,2.3045,2.2551,2.2551,845002
1996-02-02,2.2551,2.2716,2.1893,2.2058,853203
1996-02-05,2.2551,2.2551,2.2058,2.2301,1190594
1996-02-06,2.2716,2.3704,2.2630,2.3704,1672994
1996-02-07,2.3704,2.3868,2.2881,2.2966,1680603
1996-02-08,2.2881,2.3374,2.2716,2.2716,869393
1996-02-09,2.2551,2.3045,2.2551,2.3045,52397
1996-02-12,2.3045,2.3868,2.3045,2.3539,532200
1996-02-13,2.3210,2.3539,2.2881,2.3045,480593
1996-02-14,2.2881,2.3131,2.2881,2.2966,757203
1996-02-15,2.3374,2.3374,2.2881,2.3295,497998
1996-02-16,2.2881,2.3210,2.2881,2.2966,356405
1996-02-20,2.3210,2.3374,2.2881,2.2881,67402
1996-02-21,2.2966,2.3131,2.2881,2.2881,85399
1996-02-22,2.3210,2.3374,2.2716,2.3374,340397
1996-02-23,2.2881,2.3045,2.2881,2.2966,502205
1996-02-26,2.3374,2.3374,2.2881,2.2881,604994
1996-02-27,2.2802,2.3045,2.2716,2.2802,1777803
1996-02-28,2.3045,2.3045,2.2802,2.2881,931799
1996-02-29,2.3045,2.4856,2.3045,2.4856,2046804
1996-03-01,2.4527,2.5185,2.4198,2.4527,1856596
1996-03-04,2.4856,2.6337,2.4198,2.6173,1231205
1996-03-05,2.6502,2.6667,2.5923,2.5923,935398
1996-03-06,2.5679,2.6502,2.5514,2.5844,431993
1996-03-07,2.5923,2.6831,2.5844,2.6337,379202
1996-03-08,2.5350,2.5679,2.4691,2.4856,586997
1996-03-11,2.4691,2.6173,2.4691,2.5844,840795
1996-03-12,2.5844,2.6502,2.5185,2.5185,1261200
