date,open,high,low,close,volume
1998-09-24,0.8423,0.8541,0.6967,0.7460,218289600
1998-09-25,0.7164,0.7263,0.6476,0.7066,51033600
1998-09-28,0.7478,0.8011,0.7242,0.7597,37783200
1998-09-29,0.7774,0.7911,0.7518,0.7696,16536000
1998-09-30,0.7430,0.7557,0.6809,0.7094,18566400
1998-10-01,0.6712,0.6809,0.6298,0.6298,18700800
1998-10-02,0.6376,0.6573,0.5510,0.6298,19704000
1998-10-05,0.6161,0.6161,0.5492,0.5649,14239200
1998-10-06,0.6022,0.6022,0.5038,0.5747,16948800
1998-10-07,0.5510,0.5610,0.4862,0.4862,14755200
1998-10-08,0.4389,0.4605,0.3975,0.4566,24062400
1998-10-09,0.4841,0.5077,0.4645,0.4851,16212000
1998-10-12,0.5038,0.5038,0.4959,0.4959,11868000
1998-10-13,0.4969,0.4999,0.4605,0.4626,6494400
1998-10-14,0.4586,0.5059,0.4586,0.4744,13020000
1998-10-15,0.4744,0.5156,0.4744,0.5137,12266400
1998-10-16,0.5255,0.5747,0.5196,0.5668,18242400
1998-10-19,0.5846,0.7242,0.5825,0.7145,32892000
1998-10-20,0.7715,0.8168,0.7124,0.7321,45998400
1998-10-21,0.7715,0.8108,0.7439,0.7960,27652800
1998-10-22,0.8148,0.8423,0.7754,0.8118,22442400
1998-10-23,0.8129,0.8226,0.7793,0.7893,13598400
1998-10-26,0.9446,1.1572,0.9250,1.1553,164133600
1998-10-27,1.2831,1.4297,1.2635,1.2989,240333600
1998-10-28,1.2280,1.3343,1.2044,1.2595,107136000
1998-10-29,1.2792,1.3058,1.2556,1.2576,34154400
1998-10-30,1.2734,1.3285,1.2605,1.3088,39960000
1998-11-02,1.3678,1.3815,1.3186,1.3225,52065600
1998-11-03,1.3382,1.3461,1.3068,1.3225,19351200
1998-11-04,1.3461,1.3501,1.2861,1.3019,18784800
1998-11-05,1.2753,1.3186,1.2398,1.2783,27813600
1998-11-06,1.2655,1.3294,1.2635,1.3225,20608800
1998-11-09,1.3324,1.6216,1.3304,1.6216,85166400
1998-11-10,1.7744,2.2042,1.7492,2.0609,243139200
1998-11-11,2.0042,2.1302,1.7964,1.8247,129156000
1998-11-12,1.7933,2.0924,1.7712,1.9853,94149600
1998-11-13,2.0467,2.0924,1.8861,1.9507,57108000
1998-11-16,2.0389,2.0467,1.9239,2.0089,34684800
1998-11-17,2.0074,2.0940,1.9523,2.0247,34324800
1998-11-18,2.0546,2.3380,1.9743,2.3223,84676800
1998-11-19,2.3774,2.4419,2.2325,2.2640,57228000
1998-11-20,2.3616,2.3616,2.2105,2.3144,28288800
1998-11-23,2.4088,3.0780,2.3884,3.0386,68400000
1998-11-24,2.9756,3.6857,2.8024,3.0984,144129600
1998-11-25,3.1646,3.3732,3.0780,3.2197,82300800
1998-11-27,3.3220,3.4653,3.2590,3.4322,28044000
1998-11-30,3.5330,3.5424,2.9599,3.1110,57141600
1998-12-01,2.9457,3.2905,2.8654,3.2637,62236800
1998-12-02,3.2433,3.3692,3.1173,3.1960,30333600
1998-12-03,3.1221,3.2795,2.9127,2.9441,32184000
1998-12-04,3.0780,3.1173,2.5238,2.8733,58202400
1998-12-07,2.8812,2.8812,2.6293,2.7442,48561600
1998-12-08,2.6450,2.8654,2.6214,2.7851,50870400
1998-12-09,2.7961,3.0622,2.7206,2.8261,50265600
1998-12-10,2.8969,3.0008,2.8355,2.9300,47990400
1998-12-11,2.8701,3.0433,2.8670,3.0229,25360800
1998-12-14,2.9268,3.0386,2.9205,2.9678,19648800
1998-12-15,3.0307,3.0607,2.9804,3.0544,17013600
1998-12-16,3.1504,3.5582,3.1488,3.5188,51873600
1998-12-17,3.4322,3.8337,3.3929,3.7518,44750400
1998-12-18,3.9360,4.1297,3.8573,3.9722,35282400
1998-12-21,4.0698,4.7311,4.0462,4.6665,55624800
1998-12-22,4.8193,4.8980,4.4446,4.7390,44604000
1998-12-23,4.8508,4.9011,4.6209,4.6917,17971200
1998-12-24,4.5658,4.6776,4.4398,4.5028,11032800
1998-12-28,4.5264,4.7547,4.3454,4.4965,25576800
1998-12-29,4.5815,4.5815,4.2509,4.3123,14196000
1998-12-30,4.2415,4.2493,3.6117,3.9817,41870400
1998-12-31,3.8384,4.0635,3.7943,3.7990,15758400
1999-01-04,3.7219,3.9518,3.6526,3.7786,18808800
1999-01-05,3.5912,3.6605,3.4605,3.5267,31677600
1999-01-06,3.6841,4.4871,3.6684,4.4556,45842400
1999-01-07,4.2840,4.9594,4.2525,4.6917,49852800
1999-01-08,4.9594,5.0460,4.5201,4.6036,37648800
1999-01-11,4.7878,4.8019,4.3769,4.5894,18511200
1999-01-12,4.4083,4.5028,3.7786,3.7865,26625600
1999-01-13,3.4322,3.7156,3.3440,3.3929,32654400
1999-01-14,3.5345,3.8069,3.4495,3.5471,29731200
1999-01-15,3.5818,3.8101,3.4952,3.5172,18849600
1999-01-19,3.8967,3.9360,3.3614,3.6196,15470400
1999-01-20,3.6148,3.6306,3.3063,3.3661,22012800
1999-01-21,3.1016,3.1803,2.8371,2.8623,37891200
1999-01-22,2.6135,3.4637,2.6135,3.0984,53016000
1999-01-25,3.1488,3.4291,2.8812,3.4243,45866400
1999-01-26,3.4480,3.6967,3.3535,3.4779,35640000
1999-01-27,4.7862,4.9436,4.4713,4.7783,105686400
1999-01-28,4.7862,4.8161,4.5028,4.6067,28092000
1999-01-29,4.5028,4.6697,4.2824,4.3706,38632800
1999-02-01,4.3926,4.4083,4.1171,4.1250,27885600
1999-02-02,4.0950,4.0950,3.8573,4.0037,20659200
1999-02-03,3.9203,4.4083,3.8888,4.3816,22536000
1999-02-04,4.3139,4.3769,3.7313,3.7628,91612800
1999-02-05,3.8652,3.8888,3.4637,3.4842,44500800
1999-02-08,3.6211,3.8479,3.5125,3.6369,33955200
1999-02-09,3.6369,3.6526,3.3063,3.3519,20256000
1999-02-10,3.3047,3.4070,3.0229,3.3377,30156000
1999-02-11,3.4527,3.7865,3.3535,3.7707,31639200
1999-02-12,3.7140,3.9014,3.5944,3.7156,29078400
1999-02-16,3.7990,3.8730,3.5944,3.6385,15204000
1999-02-17,3.7550,3.8730,3.6180,3.6684,28178400
1999-02-18,3.6904,3.7518,3.5031,3.7014,18117600
1999-02-19,3.7282,3.8022,3.6495,3.7707,15204000
1999-02-22,3.8542,4.4871,3.8022,4.3895,42429600
1999-02-23,4.4697,4.6681,4.3769,4.4493,48652800
1999-02-24,4.5721,4.7626,4.4871,4.5028,39724800
1999-02-25,4.5737,4.7217,4.4288,4.7154,30955200
1999-02-26,4.8413,5.2916,4.7169,5.2585,82912800
1999-03-01,5.1452,5.5781,4.8224,5.0853,118092000
1999-03-02,5.2239,5.7151,5.1625,5.5309,26144536
1999-03-03,5.8190,5.9040,5.5498,5.8332,43078400
1999-03-04,6.0882,6.1921,5.8332,6.1780,44036800
1999-03-05,6.5606,7.1368,6.3764,7.0518,66722400
1999-03-08,7.2927,8.0767,7.1935,8.0767,69851200
1999-03-09,8.2704,8.3790,7.6233,7.8547,53716000
1999-03-10,7.9114,7.9728,7.1793,7.3257,39085600
1999-03-11,7.2738,7.5997,6.8487,7.0848,28084800
1999-03-12,6.8062,7.0376,6.5558,6.7070,24456800
1999-03-15,6.8723,7.4485,6.7259,7.4060,27759200
1999-03-16,7.5855,7.8075,7.3352,7.4532,18779200
1999-03-17,7.2974,7.5005,7.1368,7.3588,13496800
1999-03-18,7.3588,7.7461,7.1935,7.5949,15420000
1999-03-19,7.7508,7.7839,7.3918,7.5477,13359200
1999-03-22,7.4863,7.6516,7.2738,7.3257,10059200
1999-03-23,7.2265,7.2738,6.6597,6.9148,15350400
1999-03-24,6.7826,6.8959,6.4850,6.8676,14400000
1999-03-25,7.5572,7.7225,7.3682,7.5288,24702400
1999-03-26,7.3682,7.6516,7.2265,7.2974,11440800
1999-03-29,7.0045,7.2690,6.8959,6.9809,21816000
1999-03-30,6.8723,6.8959,6.3905,6.4755,28373600
1999-03-31,6.2630,6.8487,6.2583,6.4850,21924000
1999-04-01,6.8014,6.8014,6.2866,6.5464,17264800
1999-04-05,6.5889,7.4107,6.4000,7.0282,33777600
1999-04-06,7.0754,7.4391,6.9195,7.1793,19448000
1999-04-07,7.4155,7.4391,6.9101,7.0848,13666400
1999-04-08,7.1462,8.1287,6.9573,8.1145,40263200
1999-04-09,7.8878,9.0214,7.8406,8.6624,50240000
1999-04-12,8.5018,9.2103,8.0909,8.3412,46344000
1999-04-13,8.2468,8.7758,8.1665,8.1665,48822400
1999-04-14,8.5018,8.5065,7.6044,7.6941,28672000
1999-04-15,7.6516,8.5963,7.2029,8.4499,40950400
1999-04-16,8.2893,8.5160,8.0295,8.3129,18356800
1999-04-19,8.1665,8.2137,7.1793,7.2785,23468800
1999-04-20,7.0943,7.7414,6.9101,7.6752,23271200
1999-04-21,7.7744,8.0531,7.6280,7.8783,12271200
1999-04-22,8.0767,8.2798,7.7650,8.1239,11732000
1999-04-23,8.1428,9.6354,8.0295,9.4512,61119200
1999-04-26,9.9141,10.2777,9.5929,9.8715,47118400
1999-04-27,11.0476,11.0476,9.5881,9.8857,81927200
1999-04-28,9.7298,9.7298,9.0497,9.0969,45648800
1999-04-29,8.4687,10.2022,8.4687,10.1549,56644000
1999-04-30,10.2447,10.4856,9.3992,9.8290,38195200
1999-05-03,9.4512,9.6307,8.9741,9.0025,24285600
1999-05-04,8.9741,9.4890,8.3129,8.5632,29710400
1999-05-05,8.4735,8.8324,7.9350,8.8230,31929600
1999-05-06,8.8041,9.1772,8.2656,8.2893,20984800
1999-05-07,8.4451,8.8230,8.1712,8.3459,24002400
1999-05-10,8.6104,9.2481,8.5018,9.1347,27501600
1999-05-11,9.3331,9.4937,9.1064,9.2245,19247200
1999-05-12,9.2056,9.5362,8.8749,9.3898,15490400
1999-05-13,9.5220,9.7487,9.0214,9.0922,14848000
1999-05-14,8.7899,9.0214,8.7049,8.7805,14700800
1999-05-17,8.5963,9.3992,8.2704,9.3709,20826400
1999-05-18,9.2103,9.3992,8.9269,8.9552,16804800
1999-05-19,9.0450,9.3850,9.0450,9.2953,18214400
1999-05-20,9.2575,9.3284,8.8088,8.8135,10639200
1999-05-21,8.7663,9.0686,8.6199,8.9977,11755200
1999-05-24,8.9694,8.9741,8.2845,8.6577,17208000
1999-05-25,8.5207,8.5727,7.7178,7.7414,30312000
1999-05-26,7.6800,8.3601,7.1510,8.2326,41776800
1999-05-27,8.1712,8.4357,7.9114,7.9823,19064800
1999-05-28,8.0106,8.4782,7.8028,8.3696,16406400
1999-06-01,8.2184,8.6341,7.6989,7.8642,21372000
1999-06-02,7.6705,8.2893,7.1557,7.9728,43758400
1999-06-03,8.0484,8.0767,7.5572,7.6186,22168000
1999-06-04,7.6186,8.0011,7.4344,7.9586,20612000
1999-06-07,8.0011,8.8088,8.0011,8.6577,28496800
1999-06-08,8.6435,8.8277,8.3648,8.6813,19372000
1999-06-09,8.6860,8.6907,8.4262,8.6435,12598400
1999-06-10,8.5160,8.8088,8.3034,8.6293,18928800
1999-06-11,8.5254,8.5254,7.7792,7.7839,43614400
1999-06-14,7.5572,7.5572,6.3055,6.4236,119326400
1999-06-15,6.2866,6.7542,5.9843,6.4000,88416800
1999-06-16,6.7353,7.1037,6.6125,7.0282,52292000
1999-06-17,7.0471,7.4344,6.8770,6.9337,45833600
1999-06-18,7.0612,7.0707,6.7684,6.9054,15715200
1999-06-21,7.1699,7.4155,6.7070,7.1840,32800800
1999-06-22,7.2171,7.5572,6.9715,6.9998,32093600
1999-06-23,6.9715,7.1604,6.7070,6.9148,24519200
1999-06-24,6.9384,7.0612,6.6314,6.7117,17677600
1999-06-25,6.8014,6.8109,6.2441,6.4236,21676000
1999-06-28,6.4094,6.6267,6.0221,6.6172,40705600
1999-06-29,6.5369,6.7826,6.3291,6.6503,30924800
1999-06-30,6.4992,7.3682,6.4472,7.1510,35864800
1999-07-01,7.2360,7.4107,6.8912,7.0707,26795200
1999-07-02,7.0140,7.2171,6.6881,6.7826,22669600
1999-07-06,6.7306,7.0093,6.5181,6.6503,40700800
1999-07-07,6.7023,6.8676,6.4189,6.5322,33600000
1999-07-08,6.3952,6.6314,6.2110,6.3386,40177600
1999-07-09,6.3905,6.5086,6.3386,6.4141,14088800
1999-07-12,6.3527,6.3527,6.0268,6.0410,32841600
1999-07-13,5.9418,6.1166,5.6820,5.9040,44996800
1999-07-14,5.9702,6.0221,5.7104,5.8096,30977600
1999-07-15,5.8190,6.1071,5.7623,5.9985,34743200
1999-07-16,5.9560,6.0221,5.7718,5.8096,14626400
1999-07-19,5.8379,5.8379,5.5403,5.5592,23354400
1999-07-20,5.4789,5.5026,5.2333,5.3325,23097600
1999-07-21,5.3798,5.6490,5.2522,5.4459,29312800
1999-07-22,5.3656,5.3798,5.1200,5.1341,33967200
1999-07-23,5.1955,5.2900,5.0727,5.0916,25628800
1999-07-26,5.0066,5.2144,4.8744,4.9310,34648000
1999-07-27,4.9594,5.0964,4.6524,4.7024,68006400
1999-07-28,4.6821,5.0444,4.6642,4.9547,42127200
1999-07-29,4.7657,4.9122,4.7374,4.8319,26337600
1999-07-30,4.8838,4.9405,4.6051,4.6141,19088800
1999-08-02,4.5759,4.7232,4.2981,4.3099,31671200
1999-08-03,4.3572,4.3690,3.8967,3.9855,62003200
1999-08-04,3.9439,4.0620,3.5722,3.5778,63553600
1999-08-05,3.5453,4.4044,3.3195,4.3869,108594400
1999-08-06,4.1919,4.6288,3.8967,3.9321,121270400
1999-08-09,3.9264,4.0563,3.6959,3.7611,57776000
1999-08-10,3.8438,4.3218,3.7313,4.2155,120584000
1999-08-11,4.4162,4.4162,4.0147,4.1418,86100800
1999-08-12,4.1475,4.4871,4.1092,4.3161,52408000
1999-08-13,4.5697,4.6585,4.4932,4.6288,44160800
1999-08-16,4.6198,5.1861,4.5197,5.1483,82967200
1999-08-17,5.1861,5.5923,5.1200,5.5640,91926400
1999-08-18,5.7482,6.1119,5.6820,5.9465,97090400
1999-08-19,5.7529,5.8710,5.4789,5.4837,80229600
1999-08-20,5.3892,5.8521,5.3892,5.8143,71656000
1999-08-23,5.9985,6.1166,5.7387,5.8757,59550400
1999-08-24,5.7765,6.0930,5.5876,5.7812,65720800
1999-08-25,5.7576,6.1166,5.6679,6.0930,54353600
1999-08-26,6.1402,6.3055,5.9749,6.0646,39971200
1999-08-27,6.1544,6.1544,5.8568,6.0127,29280800
1999-08-30,6.0127,6.0505,5.5687,5.6395,34164000
1999-08-31,5.7529,5.9465,5.4742,5.9324,77098400
1999-09-01,5.9324,5.9513,5.6962,5.7576,32184000
1999-09-02,5.5640,5.8946,5.5403,5.7340,35044800
1999-09-03,5.9654,6.3291,5.9276,6.3055,44752800
1999-09-07,6.2441,6.4283,6.1685,6.3197,34964800
1999-09-08,6.2252,6.5133,6.1874,6.3669,30932800
1999-09-09,6.5511,6.8251,6.5228,6.8203,43900800
1999-09-10,7.0376,7.5099,7.0329,7.4627,71992800
1999-09-13,7.3116,7.3493,6.9337,6.9857,48109600
1999-09-14,6.9431,7.3635,6.9431,7.3210,42837600
1999-09-15,7.5241,7.6044,7.1321,7.1793,54953600
