date,open,high,low,close,volume
1990-03-26,0.4883,0.4883,0.4774,0.4829,1112819
1990-03-27,0.4774,0.4829,0.4774,0.4829,284401
1990-03-28,0.4774,0.4883,0.4774,0.4774,940000
1990-03-29,0.4774,0.4829,0.4774,0.4829,146392
1990-03-30,0.4883,0.4883,0.4774,0.4829,445191
1990-04-02,0.4829,0.4829,0.4829,0.4829,72399
1990-04-03,0.4883,0.4883,0.4774,0.4829,437218
1990-04-04,0.4883,0.4883,0.4855,0.4883,372382
1990-04-05,0.4829,0.4883,0.4829,0.4883,417990
1990-04-06,0.4883,0.4883,0.4747,0.4829,4235991
1990-04-09,0.4883,0.4883,0.4774,0.4774,1429205
1990-04-10,0.4774,0.4829,0.4719,0.4829,372382
1990-04-11,0.4829,0.4829,0.4719,0.4719,280802
1990-04-12,0.4829,0.4829,0.4719,0.4829,121196
1990-04-16,0.4829,0.4883,0.4774,0.4829,1596419
1990-04-17,0.4829,0.4829,0.4774,0.4829,254421
1990-04-18,0.4829,0.4883,0.4829,0.4883,102379
1990-04-19,0.4883,0.4993,0.4829,0.4883,1082383
1990-04-20,0.4883,0.4938,0.4883,0.4883,867601
1990-04-23,0.4883,0.4883,0.4829,0.4829,837621
1990-04-24,0.4829,0.4883,0.4774,0.4855,2289607
1990-04-25,0.4774,0.4883,0.4774,0.4829,1620385
1990-04-26,0.4883,0.4883,0.4829,0.4883,2753980
1990-04-27,0.4829,0.4883,0.4829,0.4883,53992
1990-04-30,0.4829,0.4883,0.4829,0.4883,566798
1990-05-01,0.4883,0.4883,0.4829,0.4829,254421
1990-05-02,0.4883,0.4993,0.4829,0.4883,754014
1990-05-03,0.4993,0.5103,0.4938,0.4993,457220
1990-05-04,0.5103,0.5103,0.4993,0.5048,1076779
1990-05-07,0.4993,0.5103,0.4993,0.4993,1295980
1990-05-08,0.4993,0.5077,0.4993,0.5077,1422416
1990-05-09,0.4993,0.5158,0.4993,0.5158,2212014
1990-05-10,0.5158,0.5158,0.5048,0.5048,280802
1990-05-11,0.5048,0.5213,0.5048,0.5213,421180
1990-05-14,0.5213,0.5213,0.5103,0.5103,1368379
1990-05-15,0.5103,0.5213,0.5103,0.5158,748820
1990-05-16,0.5213,0.5213,0.5103,0.5213,348006
1990-05-17,0.5103,0.5213,0.5103,0.5213,97595
1990-05-18,0.5103,0.5158,0.5103,0.5103,864002
1990-05-21,0.5103,0.5213,0.5103,0.5129,882409
1990-05-22,0.5103,0.5213,0.5103,0.5186,1579196
1990-05-23,0.5158,0.5267,0.5158,0.5213,199609
1990-05-24,0.5239,0.5267,0.5213,0.5267,1720805
1990-05-25,0.5213,0.5213,0.5158,0.5158,108393
1990-05-29,0.5267,0.5377,0.5213,0.5377,2016414
1990-05-30,0.5377,0.5377,0.5213,0.5322,912389
1990-05-31,0.5267,0.5294,0.5213,0.5213,656783
1990-06-01,0.5267,0.5377,0.5213,0.5267,5146786
1990-06-04,0.5377,0.5377,0.5213,0.5267,977179
1990-06-05,0.5322,0.5377,0.5213,0.5239,3069591
1990-06-06,0.5322,0.5322,0.5213,0.5239,1247182
1990-06-07,0.5322,0.5322,0.5267,0.5294,1366009
1990-06-08,0.5213,0.5322,0.5213,0.5322,110398
1990-06-11,0.5213,0.5432,0.5213,0.5267,2077194
1990-06-12,0.5377,0.5377,0.5322,0.5377,445191
1990-06-13,0.5322,0.5487,0.5322,0.5351,967201
1990-06-14,0.5487,0.5542,0.5322,0.5487,2004021
1990-06-15,0.5597,0.5871,0.5597,0.5816,1842001
1990-06-18,0.6310,0.6639,0.6255,0.6448,18151599
1990-06-19,0.6529,0.6529,0.6145,0.6365,5533201
1990-06-20,0.6255,0.6365,0.6255,0.6365,8759208
1990-06-21,0.6365,0.6365,0.6200,0.6255,4630016
1990-06-22,0.6200,0.6310,0.6200,0.6200,3729610
1990-06-25,0.6310,0.6310,0.6091,0.6091,1166810
1990-06-26,0.6420,0.6584,0.6200,0.6558,16057592
1990-06-27,0.6501,0.6584,0.6255,0.6339,15334014
1990-06-28,0.6365,0.6420,0.6310,0.6420,2753980
1990-06-29,0.6420,0.6420,0.5103,0.5377,26014001
1990-07-02,0.5377,0.5542,0.5377,0.5542,8783994
1990-07-03,0.5542,0.5542,0.5461,0.5542,864002
1990-07-05,0.5542,0.5706,0.5461,0.5625,1112819
1990-07-06,0.5706,0.5706,0.5597,0.5678,839216
1990-07-09,0.5652,0.5706,0.5597,0.5678,6469192
1990-07-10,0.5761,0.5816,0.5678,0.5735,1823183
1990-07-11,0.5735,0.5900,0.5735,0.5843,967201
1990-07-12,0.5926,0.5981,0.5871,0.5981,453985
1990-07-13,0.6009,0.6036,0.5926,0.6009,1757209
1990-07-16,0.5926,0.5926,0.5926,0.5926,134819
1990-07-17,0.5926,0.5981,0.5926,0.5926,2613602
1990-07-18,0.5926,0.5926,0.5871,0.5871,2349613
1990-07-19,0.5871,0.5871,0.5843,0.5843,181612
1990-07-20,0.5788,0.5871,0.5788,0.5816,2459190
1990-07-23,0.5788,0.5816,0.5625,0.5706,1924788
1990-07-24,0.5706,0.5706,0.5597,0.5706,2060792
1990-07-25,0.5706,0.5706,0.5568,0.5568,1803592
1990-07-26,0.5542,0.5652,0.5542,0.5652,110398
1990-07-27,0.5542,0.5625,0.5542,0.5625,1422416
1990-07-30,0.5542,0.5542,0.5542,0.5542,35994
1990-07-31,0.5542,0.5597,0.5487,0.5487,72399
1990-08-01,0.5542,0.5568,0.5487,0.5542,491209
1990-08-02,0.5487,0.5487,0.5294,0.5294,663982
1990-08-03,0.5294,0.5322,0.5048,0.5048,1214787
1990-08-06,0.5048,0.5077,0.4993,0.4993,2632009
1990-08-07,0.5158,0.5213,0.5077,0.5213,2216388
1990-08-08,0.5322,0.5377,0.5213,0.5322,864002
1990-08-09,0.5377,0.5377,0.5267,0.5267,146392
1990-08-10,0.5432,0.5432,0.5267,0.5432,72399
1990-08-13,0.5267,0.5432,0.5267,0.5294,2459190
1990-08-14,0.5294,0.5351,0.5267,0.5322,839216
1990-08-15,0.5377,0.5377,0.5267,0.5377,486015
1990-08-16,0.5267,0.5322,0.5158,0.5158,794382
1990-08-17,0.5213,0.5267,0.5158,0.5158,1058417
1990-08-20,0.5322,0.5322,0.5213,0.5322,728818
1990-08-21,0.5213,0.5322,0.5103,0.5103,1738802
1990-08-22,0.5103,0.5158,0.5048,0.5048,964786
1990-08-23,0.4938,0.5048,0.4829,0.4912,393979
