date,open,high,low,close,volume
1970-01-02,2.5390,2.6287,2.5390,2.5895,54000
1970-01-05,2.6163,2.6802,2.6163,2.6802,110800
1970-01-06,2.6802,2.7318,2.6545,2.6802,88800
1970-01-07,2.6802,2.7184,2.6679,2.6679,64800
1970-01-08,2.6802,2.7318,2.6802,2.7318,56400
1970-01-09,2.7318,2.7442,2.6802,2.7060,75600
1970-01-12,2.7060,2.7060,2.6679,2.6936,56800
1970-01-13,2.6936,2.6936,2.6029,2.6029,104800
1970-01-14,2.6029,2.6679,2.6029,2.6679,44800
1970-01-15,2.6411,2.6411,2.5895,2.6029,66000
1970-01-16,2.6029,2.6411,2.5772,2.6029,44400
1970-01-19,2.6029,2.6411,2.5772,2.6163,43200
1970-01-20,2.6163,2.6287,2.5514,2.6029,49200
1970-01-21,2.6287,2.8864,2.6287,2.8091,140400
1970-01-22,2.8091,2.8349,2.7060,2.7184,154000
1970-01-23,2.7184,2.7318,2.6545,2.6679,61200
1970-01-26,2.6545,2.6545,2.5256,2.5772,93600
1970-01-27,2.5772,2.5772,2.5132,2.5772,54000
1970-01-28,2.5514,2.5514,2.4483,2.4483,106000
1970-01-29,2.4349,2.4349,2.3586,2.4091,220000
1970-01-30,2.4091,2.4225,2.3710,2.4225,162400
1970-02-02,2.4225,2.4483,2.3968,2.4483,132000
1970-02-03,2.4483,2.4741,2.3844,2.4741,139200
1970-02-04,2.4741,2.4741,2.3710,2.4091,147600
1970-02-05,2.4091,2.4091,2.3586,2.3710,76000
1970-02-06,2.3710,2.3844,2.3452,2.3710,109600
1970-02-09,2.3710,2.3710,2.3452,2.3710,119200
1970-02-10,2.3710,2.3710,2.3452,2.3710,62400
1970-02-11,2.3710,2.3968,2.3586,2.3968,74800
1970-02-12,2.3968,2.3968,2.3586,2.3710,67200
1970-02-13,2.3710,2.3968,2.3586,2.3710,48000
1970-02-16,2.3710,2.3844,2.3452,2.3844,68400
1970-02-17,2.3710,2.3710,2.3194,2.3194,82800
1970-02-18,2.3318,2.3844,2.3318,2.3452,80400
1970-02-19,2.3452,2.3968,2.3318,2.3318,102400
1970-02-20,2.3452,2.4225,2.3452,2.3586,180000
1970-02-24,2.3586,2.3844,2.3586,2.3710,159600
1970-02-25,2.3710,2.3968,2.3452,2.3710,192400
1970-02-26,2.3710,2.3844,2.3452,2.3586,183600
1970-02-27,2.3586,2.4741,2.3318,2.4225,212400
1970-03-02,2.4483,2.5390,2.4483,2.4741,201600
1970-03-03,2.4741,2.5390,2.4483,2.5390,118800
1970-03-04,2.5390,2.5895,2.5256,2.5514,157200
1970-03-05,2.5514,2.5772,2.5132,2.5390,103200
1970-03-06,2.5390,2.5514,2.4741,2.4864,77200
1970-03-09,2.4864,2.4998,2.4617,2.4741,64000
1970-03-10,2.4741,2.5132,2.4617,2.4998,37600
1970-03-11,2.4998,2.5132,2.4864,2.4864,55600
1970-03-12,2.4864,2.4864,2.4483,2.4617,52800
1970-03-13,2.4617,2.4864,2.4349,2.4864,56400
1970-03-16,2.4864,2.4998,2.4225,2.4617,49200
1970-03-17,2.4617,2.4741,2.4225,2.4617,55600
1970-03-18,2.4617,2.5132,2.4225,2.4483,192000
1970-03-19,2.4483,2.4483,2.3968,2.4225,55600
1970-03-20,2.4225,2.4349,2.3710,2.4225,175200
1970-03-23,2.4225,2.4483,2.3968,2.4091,48000
1970-03-24,2.4225,2.4617,2.4225,2.4617,47200
1970-03-25,2.4617,2.5132,2.4349,2.4998,166000
1970-03-26,2.4998,2.5132,2.4741,2.4998,86800
1970-03-30,2.4998,2.5256,2.4617,2.4741,82000
1970-03-31,2.4741,2.4864,2.4483,2.4483,66000
1970-04-01,2.4617,2.4998,2.4617,2.4741,72000
1970-04-02,2.4741,2.4998,2.4617,2.4617,107200
1970-04-03,2.4617,2.4864,2.4349,2.4864,183600
1970-04-06,2.4864,2.4998,2.4483,2.4483,118000
1970-04-07,2.4483,2.4864,2.4349,2.4864,74400
1970-04-08,2.4864,2.4864,2.4617,2.4617,40000
1970-04-09,2.4617,2.4741,2.4349,2.4483,40800
1970-04-10,2.4349,2.4349,2.3968,2.3968,118800
1970-04-13,2.3968,2.4225,2.3710,2.4091,141600
1970-04-14,2.4091,2.4225,2.3452,2.3968,127600
1970-04-15,2.3968,2.4349,2.3710,2.3844,38400
1970-04-16,2.3844,2.4091,2.2298,2.2298,152800
1970-04-17,2.1772,2.1772,2.0875,2.1648,248400
1970-04-20,2.1648,2.2164,2.1256,2.1390,109600
1970-04-21,2.1390,2.1906,2.1256,2.1256,79200
1970-04-22,2.1256,2.1648,2.1256,2.1390,79200
1970-04-23,2.1390,2.1390,2.0875,2.1390,95200
1970-04-24,2.1390,2.1648,2.1133,2.1256,98400
1970-04-27,2.1648,2.1648,2.0999,2.1390,72000
1970-04-28,2.0999,2.0999,2.0360,2.0494,248400
1970-04-29,2.0617,2.1648,2.0617,2.1648,98400
1970-04-30,2.1648,2.1906,2.0617,2.1133,130000
1970-05-01,2.1133,2.1256,2.0617,2.0617,113200
1970-05-04,2.0617,2.0999,2.0102,2.0226,76000
1970-05-05,2.0226,2.0617,2.0102,2.0102,67200
1970-05-06,2.0102,2.0751,1.9710,2.0102,158800
1970-05-07,2.0102,2.0226,1.9586,1.9844,155200
1970-05-08,1.9844,2.0102,1.9329,1.9586,99600
1970-05-11,1.9586,1.9844,1.8556,1.9205,848800
1970-05-12,1.9205,1.9452,1.8432,1.9071,205600
1970-05-13,1.9071,1.9071,1.8556,1.8813,173200
1970-05-14,1.8813,1.8813,1.8298,1.8556,145200
