date,open,high,low,close,volume
1993-03-22,2.2652,2.3030,2.1519,2.1519,1749600
1993-03-23,2.1897,2.3030,2.1142,2.3030,2000400
1993-03-24,2.2652,2.3030,2.1897,2.2463,1009200
1993-03-25,2.2463,2.2463,2.1519,2.1519,1035600
1993-03-26,2.1897,2.1897,2.1519,2.1519,1326000
1993-03-29,2.1897,2.2274,2.1142,2.1429,518400
1993-03-30,2.1897,2.1897,2.1142,2.1519,649200
1993-03-31,2.1519,2.1519,2.0953,2.0953,1665600
1993-04-01,2.0953,2.1519,2.0764,2.0953,316800
1993-04-02,2.0953,2.0953,1.9443,2.0009,1820400
1993-04-05,2.0198,2.0764,1.9443,2.0387,1450800
1993-04-06,2.1142,2.1142,2.0387,2.0387,1084800
1993-04-07,2.0009,2.0576,1.9632,1.9632,1216800
1993-04-08,1.9443,2.0198,1.9065,1.9254,990000
1993-04-12,1.8877,1.9254,1.8688,1.9065,1232400
1993-04-13,1.8877,1.9254,1.8310,1.8499,2005200
1993-04-14,1.8877,1.9254,1.8499,1.9254,3022800
1993-04-15,1.9254,1.9254,1.8688,1.8688,412800
1993-04-16,1.8688,1.9254,1.8688,1.8688,188400
1993-04-19,1.9065,1.9065,1.8499,1.8499,628800
1993-04-20,1.8499,1.8877,1.8499,1.8499,214800
1993-04-21,1.8877,1.8877,1.8122,1.8310,588000
1993-04-22,1.8688,1.9254,1.8310,1.9254,382800
1993-04-23,1.9443,1.9443,1.8688,1.9443,118800
1993-04-26,1.9443,1.9443,1.8688,1.8688,187200
1993-04-27,1.9065,2.0764,1.8499,2.0764,1040400
1993-04-28,2.0764,2.0764,2.0198,2.0576,348000
1993-04-29,2.0198,2.0198,1.9821,2.0198,319200
1993-04-30,2.0009,2.1331,2.0009,2.0764,1194000
1993-05-03,2.0764,2.1897,2.0764,2.1897,499200
1993-05-04,2.1897,2.1897,2.1331,2.1897,242400
1993-05-05,2.1331,2.3785,2.1331,2.3030,1215600
1993-05-06,2.3030,2.3407,2.2086,2.2463,598800
1993-05-07,2.2463,2.3407,2.2463,2.2841,472800
1993-05-10,2.2841,2.3973,2.2841,2.3407,349200
1993-05-11,2.3785,2.3785,2.3218,2.3218,391200
1993-05-12,2.3218,2.3596,2.3218,2.3218,145200
1993-05-13,2.3596,2.3596,2.3030,2.3407,303600
1993-05-14,2.3407,2.3596,2.3030,2.3218,204000
1993-05-17,2.3596,2.3785,2.3218,2.3407,142800
1993-05-18,2.3785,2.3785,2.3407,2.3407,802800
1993-05-19,2.3785,2.4351,2.3785,2.4162,1312800
1993-05-20,2.3973,2.4540,2.3973,2.4540,265200
1993-05-21,2.3973,2.4351,2.3973,2.3973,223200
1993-05-24,2.4162,2.4162,2.3973,2.3973,222000
1993-05-25,2.4162,2.4162,2.3407,2.3785,372000
1993-05-26,2.3218,2.3407,2.2652,2.2939,844800
1993-05-27,2.3218,2.3218,2.2463,2.2463,200400
1993-05-28,2.2463,2.2652,2.1519,2.1897,676800
1993-06-01,2.1897,2.1897,2.1519,2.1519,94800
1993-06-02,2.1708,2.1897,2.1519,2.1897,452400
1993-06-03,2.1708,2.1897,2.1519,2.1897,670800
1993-06-04,2.1519,2.2086,2.1519,2.1519,874800
1993-06-07,2.1331,2.1897,2.0387,2.1240,1143600
1993-06-08,2.0764,2.1051,1.9821,2.0387,1207200
1993-06-09,1.9821,2.0387,1.9443,1.9821,490800
1993-06-10,1.9821,2.0764,1.9821,2.0198,586800
1993-06-11,2.0764,2.3407,2.0674,2.3030,2109600
1993-06-14,2.3218,2.3785,2.2841,2.3218,949200
1993-06-15,2.3596,2.3596,2.2841,2.3030,740400
1993-06-16,2.2841,2.3218,2.2841,2.3218,301200
1993-06-17,2.3030,2.3218,2.2841,2.2841,73200
1993-06-18,2.3218,2.3218,2.2841,2.2841,67200
1993-06-21,2.3218,2.4351,2.2841,2.4351,663600
1993-06-22,2.4351,2.4351,2.3785,2.3785,64800
1993-06-23,2.3596,2.3973,2.3596,2.3973,108000
1993-06-24,2.4162,2.5484,2.3596,2.5295,1266000
1993-06-25,2.5106,2.5861,2.4728,2.4728,997200
1993-06-28,2.4728,2.5106,2.4728,2.4917,308400
1993-06-29,2.4728,2.4917,2.3785,2.4162,265200
1993-06-30,2.3785,2.4540,2.3785,2.4540,99600
1993-07-01,2.3973,2.4540,2.3596,2.3596,388800
1993-07-02,2.3973,2.4162,2.3596,2.4162,289200
1993-07-06,2.3785,2.4162,2.3785,2.3785,147600
1993-07-07,2.4162,2.4162,2.3785,2.3785,360000
1993-07-08,2.3785,2.4351,2.3407,2.4260,915600
1993-07-09,2.4540,2.4540,2.4162,2.4162,50400
1993-07-12,2.4540,2.4540,2.4162,2.4162,1050000
1993-07-13,2.4162,2.4540,2.4162,2.4540,78000
1993-07-14,2.4540,2.4540,2.3973,2.4072,759600
1993-07-15,2.3973,2.4540,2.3973,2.4540,990000
1993-07-16,2.3973,2.4351,2.3785,2.4351,408000
1993-07-19,2.3785,2.4540,2.3785,2.3973,693600
1993-07-20,2.3785,2.4162,2.3785,2.3785,162000
1993-07-21,2.3785,2.3973,2.2652,2.2841,510000
1993-07-22,2.3030,2.3030,2.1331,2.1995,741600
1993-07-23,2.1897,2.2463,2.1897,2.1897,322800
1993-07-26,2.2274,2.2463,2.1708,2.2086,421200
1993-07-27,2.2463,2.2463,2.1708,2.2086,547200
1993-07-28,2.1331,2.2086,2.1331,2.1331,274800
1993-07-29,2.1331,2.2086,2.1331,2.1708,553200
1993-07-30,2.2086,2.2274,2.1708,2.1708,1676400
1993-08-02,2.2086,2.2086,2.1708,2.2086,91200
1993-08-03,2.1708,2.2086,2.1708,2.1708,336000
1993-08-04,2.1708,2.2086,2.1708,2.1897,37200
1993-08-05,2.2086,2.2841,2.1708,2.2841,952800
1993-08-06,2.2841,2.3030,2.2463,2.2841,252000
1993-08-09,2.3407,2.3596,2.3030,2.3596,330000
1993-08-10,2.3596,2.4162,2.3030,2.4162,344400
