date,open,high,low,close,volume
2008-05-07,20.7051,21.1981,20.3764,20.9516,38943400
2008-05-08,21.0173,21.2227,20.3272,20.8694,12468400
2008-05-09,20.6229,20.8694,20.4915,20.7380,9747000
2008-05-12,20.6312,22.0608,20.6229,21.0091,7921800
2008-05-13,20.8530,21.2967,20.7051,21.2802,4518800
2008-05-14,20.9516,21.6171,20.2121,21.5021,4295600
2008-05-15,21.1570,21.6993,21.0173,21.3871,3969300
2008-05-16,21.2474,21.9786,21.0913,21.7732,11418200
2008-05-19,21.5021,21.7321,21.3378,21.4199,5645100
2008-05-20,21.1159,21.3131,20.5408,20.9927,8338100
2008-05-21,20.8448,21.1816,20.7544,20.9598,1729100
2008-05-22,20.6558,21.4692,20.6394,21.1324,7980000
2008-05-23,20.9680,21.1324,20.7544,20.8859,2421100
2008-05-27,20.8366,20.9762,20.6394,20.8530,1899300
2008-05-28,20.7215,20.9269,20.5819,20.7133,5346300
2008-05-29,20.5490,20.6558,20.4175,20.4997,6850900
2008-05-30,20.3929,20.9269,20.3518,20.6887,5456400
2008-06-02,20.5161,20.5983,19.8095,19.8177,2692600
2008-06-03,19.5548,19.9246,19.3823,19.8835,4636400
2008-06-04,19.6781,19.8753,19.6205,19.6370,2871200
2008-06-05,20.3764,21.6746,20.2943,21.0009,10802100
2008-06-06,20.6394,20.8448,20.4833,20.5243,4040900
2008-06-09,20.3764,20.7873,20.2861,20.5161,2018400
2008-06-10,20.4422,20.6229,20.4175,20.4833,3237600
2008-06-11,20.5243,20.5243,19.7684,19.9903,2352300
2008-06-12,20.3518,20.4175,19.7150,19.8670,1885800
2008-06-13,19.8424,20.3189,19.7438,20.2696,2718300
2008-06-16,20.3189,20.3518,19.3083,19.4809,2799100
2008-06-17,19.4891,19.5055,19.0783,19.2755,3945100
2008-06-18,18.9797,19.7191,18.9468,19.5466,1883200
2008-06-19,19.5959,19.7274,19.2262,19.6288,2262100
2008-06-20,19.4398,19.7191,19.1604,19.7191,2339500
2008-06-23,19.7191,19.7191,19.3576,19.3905,1562800
2008-06-24,19.1029,19.1029,18.2402,18.5196,4845600
2008-06-25,18.3470,18.7989,18.3142,18.5196,2268100
2008-06-26,18.1991,18.5360,18.1334,18.2156,2938500
2008-06-27,18.0923,18.1416,17.6815,17.7472,3329000
2008-06-30,17.7308,17.7308,16.9420,17.2378,3048100
2008-07-01,17.0899,17.1228,16.4573,16.9256,3516700
2008-07-02,17.1803,17.6569,17.0817,17.5336,1593500
2008-07-03,17.4268,17.5336,16.8763,17.2050,1530400
2008-07-07,17.2953,17.7226,17.2050,17.5172,1491700
2008-07-08,17.3775,18.0019,17.3611,17.6651,3116200
2008-07-09,17.7390,17.8951,17.6733,17.7883,1155500
2008-07-10,18.0512,18.0882,17.6322,17.9526,1238400
2008-07-11,17.5993,18.0512,17.4432,17.7801,1310900
2008-07-14,17.5993,18.1909,17.5829,17.9033,1323800
2008-07-15,17.7472,17.8540,16.8106,17.2543,1486900
2008-07-16,17.1392,17.3200,17.0488,17.2789,1055600
2008-07-17,17.1474,17.1803,15.9150,16.7613,3484300
2008-07-18,16.7941,16.8270,16.3669,16.5969,1702100
2008-07-21,16.9256,17.1557,16.6052,16.8927,1737700
2008-07-22,16.6545,17.1228,16.5559,17.0571,1582300
2008-07-23,17.0078,17.0078,16.4984,16.6052,1757200
2008-07-24,16.5148,16.9338,16.5148,16.8024,912300
2008-07-25,16.8024,17.0406,16.6052,16.6709,862800
2008-07-28,16.5066,16.6791,16.4901,16.5805,1285100
2008-07-29,16.7613,16.9092,16.5723,16.6380,2786700
2008-07-30,16.6462,17.0160,16.6462,16.9831,3516900
2008-07-31,16.7202,17.1392,16.7202,16.9831,1119000
2008-08-01,17.0817,17.2707,16.9256,17.1885,1795300
2008-08-04,17.1064,17.1392,16.8352,17.0242,2325300
2008-08-05,17.1310,17.3446,17.0078,17.2543,960400
2008-08-06,17.2378,17.4843,17.1967,17.3118,1260000
2008-08-07,17.4925,17.6486,17.2953,17.3118,1239900
2008-08-08,17.3118,18.1170,17.2953,18.0348,2200600
2008-08-11,17.9855,18.5278,17.9362,18.0595,3210200
2008-08-12,18.0430,18.1663,17.6569,17.7965,3140400
2008-08-13,18.2484,19.5302,18.1745,18.7250,6515600
2008-08-14,18.6921,19.3412,18.6921,19.1029,3319000
2008-08-15,19.3083,19.7438,19.3083,19.5713,2482400
2008-08-18,19.4480,19.8013,19.3354,19.6205,2105100
2008-08-19,19.7109,19.7767,19.2508,19.6945,2280100
2008-08-20,19.1769,19.9821,19.1029,19.7109,3635400
2008-08-21,19.6452,19.7356,18.9468,19.7356,1376900
2008-08-22,19.9739,20.0560,19.7849,19.9656,1353900
2008-08-25,20.2039,20.2532,19.7150,19.8588,1409900
2008-08-26,19.9656,19.9656,19.6698,19.8424,2507700
2008-08-27,19.9985,20.4888,19.8013,20.4586,1619100
2008-08-28,20.4257,20.4422,20.1464,20.3847,1380100
2008-08-29,20.0971,20.3189,20.0971,20.3025,1330200
2008-09-02,20.6065,20.9352,20.2039,20.7708,1757800
2008-09-03,20.5408,20.7873,20.4668,20.7873,1610800
2008-09-04,20.8448,20.8530,20.4750,20.6640,2950800
2008-09-05,20.4422,20.7379,20.3436,20.6722,2369800
2008-09-08,20.9927,21.3624,20.8612,21.0420,1414200
2008-09-09,21.1159,21.3131,20.9516,20.9680,1541700
2008-09-10,20.9927,21.2556,20.7708,20.8941,1395900
2008-09-11,20.5983,21.3295,20.3764,21.0913,1390200
2008-09-12,20.7708,21.8472,20.7708,21.7897,2564000
2008-09-15,21.5021,21.5021,20.5819,20.8037,1466700
2008-09-16,20.5490,20.6969,20.1546,20.5819,2049000
2008-09-17,20.0396,20.5572,20.0396,20.3354,12691600
2008-09-18,20.5408,20.6229,20.0149,20.2532,3415500
2008-09-19,20.1300,20.8612,20.0478,20.6969,1550300
2008-09-22,20.6229,20.9352,20.4093,20.5408,913900
2008-09-23,20.2943,20.5408,19.6616,20.1300,2014100
2008-09-24,20.1300,20.2532,19.9328,20.0807,1231200
2008-09-25,20.0314,20.2450,19.9328,20.1053,1093200
2008-09-26,19.3248,20.9434,19.3248,20.8612,1024000
2008-09-29,20.4833,20.7626,19.7109,19.9492,1930300
2008-09-30,20.7873,22.0361,20.7873,21.7568,10640200
2008-10-01,21.7732,21.9375,21.3460,21.4692,4701000
2008-10-02,21.4364,21.4364,20.7051,20.8366,4504400
2008-10-03,20.8530,21.3213,20.4833,20.6640,5904500
2008-10-06,20.4175,20.5490,19.9492,20.4586,45280300
2008-10-07,20.7462,20.8859,19.6698,19.6698,6162700
2008-10-08,19.6123,20.2368,19.1769,19.5466,7149000
2008-10-09,19.4644,19.7191,18.6510,18.8893,4917100
2008-10-10,18.3881,19.5137,17.2789,18.5031,4589100
2008-10-13,18.6182,19.5959,18.2320,19.5466,3309800
2008-10-14,19.8588,19.9122,18.4949,18.8975,2988400
2008-10-15,18.6017,18.8318,17.1803,17.3282,2134200
2008-10-16,17.3775,17.4843,16.5148,17.1557,3228200
2008-10-17,16.7284,17.4843,16.5148,17.1885,3075200
2008-10-20,16.9338,17.6897,16.7613,17.6897,1154700
2008-10-21,17.4761,18.2402,17.2953,17.6569,1185500
2008-10-22,17.2543,17.7144,16.9502,17.1803,2260600
2008-10-23,17.2543,17.4268,16.3094,16.6298,4003800
2008-10-24,15.9725,16.5066,15.5946,15.7507,3180800
2008-10-27,15.6110,16.1122,15.2988,15.7917,2442300
2008-10-28,16.0629,17.8458,16.0218,17.8130,2254400
2008-10-29,17.6897,18.5442,17.4186,18.1170,1894600
2008-10-30,18.6346,18.7332,17.5747,18.0102,1814200
2008-10-31,17.9855,19.1194,17.8951,18.8154,2214000
2008-11-03,18.5278,19.1851,18.3470,18.5442,1667900
2008-11-04,18.8893,19.5877,18.8729,19.1522,1565800
2008-11-05,19.2262,19.4562,18.4004,18.4785,1837200
2008-11-06,18.4785,18.7661,17.7719,18.0019,1367700
2008-11-07,18.1170,18.7989,18.0841,18.6346,1320900
2008-11-10,18.8893,19.3083,18.4867,18.7085,1240200
2008-11-11,18.3142,18.6510,17.4350,17.5665,1223300
2008-11-12,17.3364,17.8951,17.0817,17.1803,1503100
2008-11-13,15.5946,15.9150,14.4361,14.9455,7936900
2008-11-14,14.7318,15.5288,14.3950,14.4278,4674300
2008-11-17,14.2717,14.6086,13.9349,14.0745,2338300
2008-11-18,14.0992,14.1156,13.3515,13.6637,2810600
2008-11-19,13.7870,14.0745,13.5816,13.6062,3573500
2008-11-20,13.4419,13.5323,11.9547,12.0698,3045700
2008-11-21,12.3080,12.8585,11.7165,12.7928,2998500
2008-11-24,13.0311,13.3104,12.3984,13.1379,2126600
2008-11-25,13.3844,13.7212,12.6449,13.0886,2864200
2008-11-26,12.8174,13.3926,12.6778,13.3269,2195300
2008-11-28,13.0804,13.3104,12.9160,13.2611,718200
2008-12-01,12.9407,13.2036,12.1601,12.1848,2582100
2008-12-02,12.4066,12.5052,11.8890,12.2094,1855100
2008-12-03,12.2012,12.6038,11.8972,12.3738,2155500
2008-12-04,12.2259,12.2259,11.2563,11.3221,2795500
2008-12-05,11.2235,11.9958,11.0509,11.8890,3482100
2008-12-08,12.2916,12.3491,11.8233,11.8644,3139300
2008-12-09,11.8151,12.2341,11.5275,12.0287,2642300
2008-12-10,12.1848,12.7517,12.1191,12.6120,2123000
2008-12-11,12.5792,13.1132,12.4148,12.5299,2215000
2008-12-12,12.1191,12.8339,11.8561,12.7764,3273900
2008-12-15,12.8421,13.2611,12.7846,12.9653,2950500
2008-12-16,13.0968,13.3597,13.0064,13.2365,3309200
2008-12-17,12.9160,13.2940,12.8421,13.1790,2975000
2008-12-18,13.2611,13.9349,12.9571,13.7623,3003400
2008-12-19,13.8856,14.2306,13.6555,13.9349,4388900
2008-12-22,14.0170,14.2799,13.7204,14.0170,2314300
2008-12-23,13.7130,14.0581,13.5980,13.8527,1841800
2008-12-24,13.9349,14.0088,13.8116,13.8938,723200
2008-12-26,13.9595,13.9677,13.8034,13.8773,726700
2008-12-29,13.8856,13.9349,13.5323,13.6884,1814500
2008-12-30,13.6802,13.9349,13.4419,13.5076,2231400
2008-12-31,13.5076,13.5076,13.3022,13.3515,2694600
2009-01-02,13.4255,13.6309,13.3762,13.5980,2551800
