date,open,high,low,close,volume
1990-03-26,1.2002,1.2345,1.1824,1.1824,242400
1990-03-27,1.2345,1.2345,1.1824,1.2345,24800
1990-03-28,1.2002,1.2345,1.2002,1.2181,37200
1990-03-29,1.2002,1.2345,1.1824,1.1824,74800
1990-03-30,1.1824,1.2345,1.1824,1.1824,14000
1990-04-02,1.1824,1.2181,1.1824,1.2181,138800
1990-04-03,1.2345,1.3552,1.2002,1.3374,1432800
1990-04-04,1.3374,1.4060,1.3374,1.3717,862000
1990-04-05,1.3552,1.3881,1.3552,1.3717,3251200
1990-04-06,1.3552,1.3881,1.3552,1.3552,964400
1990-04-09,1.3552,1.3881,1.3552,1.3552,214000
1990-04-10,1.3552,1.3881,1.3552,1.3717,667200
1990-04-11,1.3552,1.4567,1.3552,1.4567,2848800
1990-04-12,1.4746,1.4746,1.3881,1.4060,406000
1990-04-16,1.3881,1.4403,1.3717,1.3717,148400
1990-04-17,1.3717,1.4060,1.3717,1.3717,82800
1990-04-18,1.4060,1.4060,1.3374,1.3374,312400
1990-04-19,1.3374,1.3374,1.2866,1.3031,264800
1990-04-20,1.2688,1.2688,1.2345,1.2345,797600
1990-04-23,1.2345,1.2345,1.1659,1.2002,680000
1990-04-24,1.1824,1.2345,1.1824,1.2345,389200
1990-04-25,1.2002,1.3031,1.2002,1.2688,181600
1990-04-26,1.2688,1.3374,1.2688,1.3196,58800
1990-04-27,1.2688,1.2866,1.2345,1.2510,205600
1990-04-30,1.2345,1.2688,1.2345,1.2688,56400
1990-05-01,1.2510,1.2510,1.2345,1.2510,42800
1990-05-02,1.2345,1.2510,1.2345,1.2345,82400
1990-05-03,1.2345,1.2688,1.2345,1.2688,45600
1990-05-04,1.2688,1.3031,1.2345,1.2688,324400
1990-05-07,1.2866,1.3031,1.2866,1.3031,40800
1990-05-08,1.2866,1.3374,1.2688,1.3374,131600
1990-05-09,1.3031,1.3374,1.3031,1.3374,100000
1990-05-10,1.3031,1.3374,1.3031,1.3374,246400
1990-05-11,1.3374,1.3374,1.3031,1.3031,284400
1990-05-14,1.3031,1.3552,1.3031,1.3196,322800
1990-05-15,1.3374,1.3374,1.3031,1.3374,477600
1990-05-16,1.3031,1.3717,1.3031,1.3552,1628000
1990-05-17,1.3374,1.4060,1.3374,1.3881,649600
1990-05-18,1.4060,1.4746,1.3717,1.4567,627200
1990-05-21,1.4403,1.6296,1.4403,1.5431,1808800
1990-05-22,1.6117,1.6117,1.5431,1.5610,648800
1990-05-23,1.5431,1.5431,1.5089,1.5089,560000
1990-05-24,1.5089,1.5253,1.5089,1.5253,544400
1990-05-25,1.5089,1.5431,1.4746,1.4924,144800
1990-05-29,1.4924,1.5610,1.4924,1.5610,1823200
1990-05-30,1.5610,1.6117,1.5431,1.6117,590400
1990-05-31,1.5939,1.6460,1.5939,1.6296,320000
1990-06-01,1.6460,1.6460,1.6117,1.6296,1073200
1990-06-04,1.6296,1.6460,1.6296,1.6460,336400
1990-06-05,1.6296,1.6460,1.5774,1.5774,813200
1990-06-06,1.5939,1.6117,1.5610,1.5774,326800
1990-06-07,1.5774,1.6296,1.5774,1.6296,151200
1990-06-08,1.5939,1.6296,1.5774,1.5939,636400
1990-06-11,1.5774,1.6117,1.5610,1.5610,101600
1990-06-12,1.5610,1.6117,1.5610,1.6117,162400
1990-06-13,1.6117,1.6117,1.5610,1.5774,254800
1990-06-14,1.5610,1.5774,1.5253,1.5253,174000
1990-06-15,1.5253,1.5431,1.5089,1.5431,284400
1990-06-18,1.5253,1.5610,1.5089,1.5610,329600
1990-06-19,1.5089,1.5431,1.5089,1.5253,64400
1990-06-20,1.5253,1.5774,1.5253,1.5774,312000
1990-06-21,1.5610,1.6117,1.5610,1.6117,510400
1990-06-22,1.5774,1.6296,1.5774,1.5939,552000
1990-06-25,1.5610,1.5774,1.5253,1.5253,470800
1990-06-26,1.5431,1.5774,1.5431,1.5610,103200
1990-06-27,1.5431,1.5774,1.5431,1.5431,115600
1990-06-28,1.5774,1.6296,1.5431,1.5774,118800
1990-06-29,1.6296,1.6460,1.5939,1.6460,106400
1990-07-02,1.5939,1.7146,1.5939,1.6625,281600
1990-07-03,1.6803,1.6981,1.6625,1.6803,194000
1990-07-05,1.6625,1.6803,1.6117,1.6803,109600
1990-07-06,1.6117,1.6460,1.6117,1.6117,58800
1990-07-09,1.6117,1.6803,1.5431,1.5774,248400
1990-07-10,1.5610,1.5939,1.5610,1.5774,61200
1990-07-11,1.5774,1.6117,1.5610,1.6117,234800
1990-07-12,1.6117,1.6460,1.5774,1.6460,785600
1990-07-13,1.6117,1.6460,1.6117,1.6460,91200
1990-07-16,1.6460,1.6460,1.6117,1.6460,29600
1990-07-17,1.6117,1.6460,1.6117,1.6117,94000
1990-07-18,1.6117,1.6460,1.6117,1.6460,48000
1990-07-19,1.6117,1.6460,1.5774,1.5774,930400
1990-07-20,1.6117,1.6117,1.5253,1.5431,757600
1990-07-23,1.5089,1.5431,1.5089,1.5253,258000
1990-07-24,1.5431,1.5431,1.5089,1.5089,174800
1990-07-25,1.5089,1.5431,1.4746,1.4924,912400
1990-07-26,1.5089,1.5089,1.4746,1.4924,75200
1990-07-27,1.4567,1.5089,1.4567,1.5089,158800
1990-07-30,1.5253,1.5253,1.4746,1.5253,52800
1990-07-31,1.5089,1.5431,1.5089,1.5431,331200
1990-08-01,1.5610,1.5774,1.4746,1.4746,199600
1990-08-02,1.4403,1.4746,1.4060,1.4238,96400
1990-08-03,1.4238,1.4746,1.3196,1.3881,643600
1990-08-06,1.3717,1.3717,1.2866,1.2866,432800
1990-08-07,1.2866,1.3552,1.2866,1.2866,114000
1990-08-08,1.2866,1.3374,1.2866,1.3031,129200
1990-08-09,1.2866,1.3196,1.2866,1.2866,109600
1990-08-10,1.3374,1.3374,1.2345,1.2345,204400
1990-08-13,1.2181,1.2345,1.2181,1.2345,167200
1990-08-14,1.2345,1.2688,1.2002,1.2510,298800
1990-08-15,1.2181,1.2510,1.2002,1.2002,384800
1990-08-16,1.2002,1.2181,1.1659,1.1659,56400
1990-08-17,1.1316,1.1659,1.1138,1.1316,961200
1990-08-20,1.0974,1.1316,1.0631,1.0974,309600
1990-08-21,1.0631,1.0974,1.0631,1.0809,437600
1990-08-22,1.0809,1.0974,0.9945,0.9945,479600
1990-08-23,1.0123,1.0452,0.9766,0.9945,820800
1990-08-24,1.0288,1.0809,1.0288,1.0631,469200
1990-08-27,1.0974,1.1316,1.0809,1.1138,150800
