date,open,high,low,close,volume
1990-03-26,1.3613,1.4603,1.3099,1.4603,656100
1990-03-27,1.4088,1.5078,1.4088,1.4603,603900
1990-03-28,1.4346,1.4603,1.4088,1.4603,1009800
1990-03-29,1.4346,1.4840,1.4346,1.4346,313200
1990-03-30,1.4346,1.4603,1.4346,1.4603,453600
1990-04-02,1.4346,1.4346,1.3851,1.3851,189000
1990-04-03,1.4346,1.4346,1.3851,1.4346,263700
1990-04-04,1.4088,1.4346,1.4088,1.4088,177300
1990-04-05,1.4088,1.4346,1.3851,1.4346,442202
1990-04-06,1.4088,1.4603,1.4088,1.4088,219600
1990-04-09,1.4346,1.4346,1.4088,1.4346,60602
1990-04-10,1.4088,1.4603,1.4088,1.4346,376200
1990-04-11,1.4603,1.5078,1.4346,1.4346,918000
1990-04-12,1.4346,1.4840,1.4346,1.4603,539100
1990-04-16,1.4840,1.4840,1.4346,1.4603,142200
1990-04-17,1.4840,1.4840,1.3851,1.4346,333000
1990-04-18,1.4088,1.4346,1.4088,1.4346,147002
1990-04-19,1.4088,1.4346,1.3851,1.4346,271202
1990-04-20,1.3851,1.4088,1.3356,1.3613,94802
1990-04-23,1.3099,1.3613,1.2862,1.3099,228002
1990-04-24,1.3099,1.3851,1.3099,1.3099,793800
1990-04-25,1.3099,1.3356,1.2624,1.3099,334202
1990-04-26,1.3356,1.3356,1.3099,1.3099,11102
1990-04-27,1.3356,1.3356,1.2862,1.3356,91800
1990-04-30,1.3356,1.3356,1.2862,1.2862,8402
1990-05-01,1.2862,1.3356,1.2862,1.3099,19202
1990-05-02,1.3356,1.3613,1.2862,1.3613,214200
1990-05-03,1.3851,1.3851,1.3613,1.3613,33602
1990-05-04,1.3851,1.4088,1.3613,1.3851,53402
1990-05-07,1.3851,1.4346,1.3851,1.4088,161100
1990-05-08,1.4088,1.4346,1.3851,1.4088,88502
1990-05-09,1.4088,1.4088,1.4088,1.4088,27900
1990-05-10,1.4346,1.4603,1.4088,1.4603,360302
1990-05-11,1.4603,1.5592,1.4603,1.5078,659700
1990-05-14,1.5078,1.5592,1.4840,1.5592,280800
1990-05-15,1.5078,1.5592,1.4840,1.5078,468000
1990-05-16,1.5592,1.5592,1.5078,1.5078,172800
1990-05-17,1.5078,1.6087,1.5078,1.6087,431100
1990-05-18,1.5830,1.6562,1.5592,1.6087,700502
1990-05-21,1.5830,1.6087,1.5592,1.5830,1095300
1990-05-22,1.6087,1.6087,1.5335,1.5592,530100
1990-05-23,1.5830,1.6819,1.5830,1.6819,1566000
1990-05-24,1.6819,1.7808,1.6819,1.7551,1021500
1990-05-25,1.7551,1.7551,1.7076,1.7076,669902
1990-05-29,1.7076,1.7551,1.6819,1.7076,405302
1990-05-30,1.7076,1.7551,1.6819,1.7076,1369202
1990-05-31,1.7076,1.7076,1.6562,1.6562,118202
1990-06-01,1.6562,1.6819,1.6562,1.6562,687002
1990-06-04,1.6562,1.7076,1.6562,1.6819,714902
1990-06-05,1.6562,1.6819,1.4840,1.5335,831002
1990-06-06,1.4088,1.5078,1.3851,1.4603,863402
1990-06-07,1.4603,1.4603,1.3356,1.4346,820800
1990-06-08,1.4088,1.4088,1.3851,1.3851,36900
1990-06-11,1.3851,1.4088,1.3613,1.4088,134402
1990-06-12,1.4088,1.4088,1.3613,1.4088,894902
1990-06-13,1.4088,1.4088,1.3851,1.4088,430502
1990-06-14,1.4088,1.4088,1.3356,1.3356,166802
1990-06-15,1.3851,1.3851,1.3356,1.3613,246902
1990-06-18,1.3356,1.3613,1.2367,1.2367,398102
1990-06-19,1.2624,1.3099,1.2367,1.2862,187502
1990-06-20,1.2862,1.3099,1.2624,1.2862,261000
1990-06-21,1.2624,1.2862,1.2367,1.2367,154202
1990-06-22,1.2367,1.2862,1.2110,1.2110,283500
1990-06-25,1.2110,1.2367,1.1635,1.2110,272700
1990-06-26,1.2110,1.2110,1.1635,1.1872,192902
1990-06-27,1.1872,1.2110,1.1872,1.2110,88200
1990-06-28,1.1872,1.2110,1.1872,1.2110,354600
1990-06-29,1.2110,1.2110,1.1872,1.2110,60300
1990-07-02,1.1872,1.2110,1.1377,1.1635,389700
1990-07-03,1.1872,1.2110,1.1635,1.2110,708602
1990-07-05,1.1872,1.2110,1.1635,1.1635,13802
1990-07-06,1.2110,1.2862,1.1872,1.2624,1087502
1990-07-09,1.2624,1.2624,1.2110,1.2624,1079402
1990-07-10,1.2624,1.2624,1.2367,1.2624,464702
1990-07-11,1.2624,1.2624,1.2110,1.2624,167702
1990-07-12,1.2624,1.2624,1.2110,1.2624,218700
1990-07-13,1.2624,1.2624,1.2110,1.2367,446400
1990-07-16,1.2110,1.2367,1.1120,1.1377,3009002
1990-07-17,1.0883,1.1377,1.0883,1.1120,855900
1990-07-18,1.1377,1.1377,1.0883,1.0883,84600
1990-07-19,1.0883,1.0883,0.9636,0.9893,668102
1990-07-20,1.0151,1.0626,0.9893,1.0626,698702
1990-07-23,1.0151,1.0388,0.9636,0.9893,345002
1990-07-24,0.9893,1.0151,0.9636,1.0151,246902
1990-07-25,1.0151,1.0626,0.9893,1.0626,311400
1990-07-26,1.0626,1.0883,1.0151,1.0626,384602
1990-07-27,1.0388,1.0626,1.0388,1.0626,114602
1990-07-30,0.9893,1.0626,0.9893,1.0151,300902
1990-07-31,0.9893,1.0388,0.9399,0.9636,1795500
1990-08-01,0.9399,0.9636,0.9161,0.9399,441900
1990-08-02,0.9399,0.9636,0.9161,0.9636,179402
1990-08-03,0.9636,0.9636,0.8409,0.8647,264902
1990-08-06,0.8647,0.8904,0.8172,0.8409,498902
1990-08-07,0.8904,0.9161,0.8647,0.8647,483300
1990-08-08,0.8904,0.8904,0.7915,0.8172,300902
1990-08-09,0.8172,0.8409,0.7915,0.8409,314100
1990-08-10,0.8172,0.8647,0.7915,0.7915,690602
1990-08-13,0.7915,0.8172,0.7658,0.7915,95400
1990-08-14,0.8172,0.8172,0.7658,0.7915,675302
1990-08-15,0.7915,0.8172,0.7658,0.7915,142502
1990-08-16,0.7915,0.8172,0.7658,0.7658,482702
1990-08-17,0.7915,0.7915,0.6925,0.7183,378000
1990-08-20,0.7658,0.7658,0.6925,0.7183,238500
1990-08-21,0.7183,0.7183,0.6431,0.6431,542102
1990-08-22,0.6925,0.6925,0.6174,0.6431,476402
1990-08-23,0.6431,0.6431,0.5936,0.5936,291902
1990-08-24,0.6431,0.6431,0.5936,0.6431,520502
1990-08-27,0.6925,0.7420,0.6925,0.7420,254700
1990-08-28,0.7183,0.7420,0.6688,0.7420,710100
1990-08-29,0.7420,0.8172,0.6925,0.8172,152402
1990-08-30,0.8172,0.9399,0.8172,0.9161,361800
1990-08-31,0.9399,1.0151,0.8904,0.9893,388202
1990-09-04,0.9399,0.9893,0.9161,0.9399,329400
1990-09-05,0.9893,0.9893,0.9399,0.9893,15300
1990-09-06,0.9893,0.9893,0.8904,0.9161,314100
1990-09-07,0.8904,0.9399,0.8904,0.9161,163202
1990-09-10,0.9399,0.9399,0.8904,0.8904,37202
