date,open,high,low,close,volume
1993-03-19,0.1992,0.2122,0.1894,0.1944,90043984
1993-03-22,0.1894,0.1911,0.1846,0.1861,13599814
1993-03-23,0.1861,0.1894,0.1846,0.1861,8300986
1993-03-24,0.1894,0.1911,0.1846,0.1894,3662997
1993-03-25,0.1927,0.1992,0.1911,0.1975,4249979
1993-03-26,0.1992,0.2107,0.1975,0.2040,8314382
1993-03-29,0.2073,0.2073,0.2040,0.2057,7362809
1993-03-30,0.2057,0.2107,0.2024,0.2090,3808797
1993-03-31,0.2122,0.2122,0.2057,0.2107,3321005
1993-04-01,0.2073,0.2122,0.2057,0.2090,1421413
1993-04-02,0.2122,0.2122,0.2057,0.2122,1903784
1993-04-05,0.2122,0.2122,0.2057,0.2107,441182
1993-04-06,0.2090,0.2107,0.2057,0.2057,874800
1993-04-07,0.2107,0.2107,0.2057,0.2107,1366419
1993-04-08,0.2107,0.2122,0.2057,0.2122,947609
1993-04-12,0.2122,0.2122,0.2073,0.2073,186214
1993-04-13,0.2122,0.2220,0.2090,0.2155,2022611
1993-04-14,0.2155,0.2335,0.2155,0.2236,6186795
1993-04-15,0.2253,0.2253,0.2122,0.2155,3544216
1993-04-16,0.2188,0.2203,0.2155,0.2188,2062979
1993-04-19,0.2188,0.2188,0.2107,0.2122,1671187
1993-04-20,0.2122,0.2122,0.2057,0.2122,2359819
1993-04-21,0.2090,0.2253,0.2057,0.2203,3165591
1993-04-22,0.2220,0.2384,0.2188,0.2318,2983387
1993-04-23,0.2384,0.2449,0.2318,0.2449,1867379
1993-04-26,0.2416,0.2514,0.2351,0.2465,3520979
1993-04-27,0.2465,0.2580,0.2433,0.2580,2916000
1993-04-28,0.2580,0.2776,0.2580,0.2743,7900219
1993-04-29,0.2743,0.2776,0.2482,0.2612,8213597
1993-04-30,0.2678,0.2776,0.2612,0.2776,5216405
1993-05-03,0.2743,0.2808,0.2743,0.2808,1794616
1993-05-04,0.2776,0.2808,0.2678,0.2678,1612184
1993-05-05,0.2678,0.2776,0.2678,0.2710,1024382
1993-05-06,0.2776,0.2776,0.2710,0.2776,154184
1993-05-07,0.2776,0.2939,0.2776,0.2906,1895400
1993-05-10,0.2906,0.3069,0.2906,0.3069,5899387
1993-05-11,0.3069,0.3069,0.2971,0.3069,2847018
1993-05-12,0.3069,0.3069,0.3004,0.3069,1853391
1993-05-13,0.3069,0.3069,0.2906,0.2906,2573416
1993-05-14,0.2906,0.3004,0.2906,0.2939,2327378
1993-05-17,0.2939,0.3069,0.2939,0.3037,595821
1993-05-18,0.3069,0.3167,0.3069,0.3167,1931622
1993-05-19,0.3167,0.3167,0.3102,0.3102,2008805
1993-05-20,0.3200,0.3200,0.3102,0.3135,984013
1993-05-21,0.3200,0.3200,0.3102,0.3200,368418
1993-05-24,0.3167,0.3167,0.2939,0.2988,1589402
1993-05-25,0.2971,0.3004,0.2971,0.3004,1170182
1993-05-26,0.2971,0.3069,0.2971,0.3069,405005
1993-05-27,0.3021,0.3069,0.2971,0.3037,1603800
1993-05-28,0.2971,0.3037,0.2971,0.3037,222618
1993-06-01,0.2971,0.3037,0.2971,0.2971,437400
1993-06-02,0.3037,0.3037,0.2971,0.2971,131402
1993-06-03,0.2971,0.3037,0.2971,0.2971,418811
1993-06-04,0.2971,0.3037,0.2743,0.2808,2715206
1993-06-07,0.2808,0.2873,0.2776,0.2873,2354579
1993-06-08,0.2808,0.2808,0.2547,0.2645,5038392
1993-06-09,0.2743,0.2808,0.2645,0.2743,2268192
1993-06-10,0.2743,0.2841,0.2743,0.2808,405005
1993-06-11,0.2906,0.3069,0.2873,0.3069,1343000
1993-06-14,0.3069,0.3200,0.3004,0.3167,7175000
1993-06-15,0.3200,0.3233,0.3135,0.3200,2114009
1993-06-16,0.3233,0.3494,0.3200,0.3461,4947586
1993-06-17,0.3429,0.3461,0.3396,0.3461,5835782
1993-06-18,0.3396,0.3461,0.3396,0.3444,883184
1993-06-21,0.3527,0.3722,0.3429,0.3657,1917179
1993-06-22,0.3722,0.3984,0.3592,0.3625,4446809
1993-06-23,0.3788,0.3788,0.3690,0.3788,4355411
1993-06-24,0.3788,0.4016,0.3657,0.3918,1621797
