date,open,high,low,close,volume
2000-06-30,11.9626,12.7791,10.9922,12.3459,3518000
2000-07-03,12.4412,12.4412,11.6160,11.9127,778800
2000-07-05,11.7503,11.9127,10.8298,11.1677,2986000
2000-07-06,11.1828,11.2630,9.1512,9.8551,3596000
2000-07-07,9.8832,10.4789,9.3136,10.3706,1938800
2000-07-10,10.2883,11.8174,9.8551,10.8038,2824400
2000-07-11,10.6132,11.6962,10.0457,10.4789,2786800
2000-07-12,10.8428,12.6578,10.5049,12.5907,4570400
2000-07-13,12.9416,13.8080,11.7091,13.0780,5894400
2000-07-14,13.1040,13.1040,11.8044,11.9669,1805200
2000-07-17,12.0752,13.1322,11.2630,12.8203,1578000
2000-07-18,12.5625,14.0116,12.1835,13.5914,2166000
2000-07-19,13.6997,14.7285,13.1582,14.3235,3068800
2000-07-20,14.6332,15.2700,14.2411,14.8108,1586400
2000-07-21,14.7285,15.0404,13.3206,13.3336,1402000
2000-07-24,14.3083,14.3083,11.9127,11.9127,3320800
2000-07-25,12.2376,12.5907,11.4254,12.2658,1588400
2000-07-26,12.2918,12.2918,10.9922,11.4124,1924400
2000-07-27,11.3171,11.3171,10.0717,10.4637,2432000
2000-07-28,10.6955,10.7215,9.7468,10.7215,1814000
2000-07-31,10.7886,10.8579,9.8551,9.8962,1662000
2000-08-01,10.0717,10.1800,9.3136,9.3548,894400
2000-08-02,9.3418,10.0717,9.0169,9.9634,1896800
2000-08-03,9.7468,11.6160,9.5973,11.6160,1499200
2000-08-04,11.3583,12.5084,11.3583,12.5084,1474800
2000-08-07,12.7380,12.7791,11.5467,11.9127,492400
2000-08-08,11.9669,12.3199,11.6962,11.6962,323600
2000-08-09,11.9257,12.1293,11.2630,11.3994,369200
2000-08-10,11.5467,11.5467,10.8298,11.2630,300400
2000-08-11,11.2630,11.4254,10.7345,11.2370,134000
2000-08-14,11.1005,11.2630,10.7215,10.8038,593200
2000-08-15,10.7756,11.1287,10.6132,11.0464,204000
2000-08-16,11.0875,11.9409,11.0464,11.9127,740800
2000-08-17,11.9127,11.9669,11.1005,11.4536,575200
2000-08-18,11.4536,11.6962,11.0464,11.3128,198800
2000-08-21,11.3171,12.0210,11.1005,11.9127,263200
2000-08-22,11.6962,12.5365,11.6962,12.1034,379600
2000-08-23,12.1034,12.1423,11.4254,11.5879,454400
2000-08-24,11.5402,12.1293,11.4796,11.9409,1924000
2000-08-25,12.0752,12.3871,11.5077,11.9951,1748000
2000-08-28,12.2658,12.6708,12.0210,12.6708,1642800
2000-08-29,12.5625,15.0404,12.5365,14.7025,3262000
2000-08-30,14.3083,16.1775,14.2953,15.2158,1767200
2000-08-31,15.1898,16.0151,15.1075,15.4606,850800
2000-09-01,15.7313,15.8786,15.1898,15.5407,467600
2000-09-05,15.2981,16.8403,15.2158,16.2187,1028000
2000-09-06,16.1364,18.4648,16.1364,17.9774,2685600
2000-09-07,18.0186,21.0639,17.6525,20.6849,2757200
2000-09-08,21.2545,21.9195,20.1434,20.5506,3938400
2000-09-11,20.1434,20.5636,18.7095,20.3340,3260400
2000-09-12,20.3340,22.3743,19.8185,21.4018,2206000
2000-09-13,21.2263,22.7425,20.9968,21.9844,1278400
2000-09-14,22.3960,23.7822,21.3346,21.6595,2366000
2000-09-15,21.9844,22.0927,20.9296,21.0228,563200
2000-09-18,20.3340,21.9628,19.3983,19.4676,1785200
2000-09-19,19.3983,19.8315,18.0857,19.5477,1632800
2000-09-20,19.5217,21.0098,19.3853,20.2517,1920800
2000-09-21,20.1434,20.3340,18.7767,19.9268,601200
2000-09-22,18.8568,19.7102,18.2222,19.3593,883200
2000-09-25,19.8466,20.4683,17.9774,18.7485,1111600
2000-09-26,18.3023,18.6272,16.4613,17.5724,1539600
2000-09-27,17.8150,18.1940,16.0281,16.4071,721200
2000-09-28,16.2447,17.3558,15.9198,16.8403,1638800
2000-09-29,16.7861,17.1110,16.2187,16.7060,1117600
2000-10-02,16.7060,18.0316,16.6908,17.1652,976800
2000-10-03,17.4359,17.9514,16.7861,16.8143,1291600
2000-10-04,16.5436,16.6107,15.3783,16.1905,1386400
2000-10-05,16.3768,16.8944,15.9479,16.4613,606000
2000-10-06,16.6778,16.6778,15.7855,15.7855,546400
2000-10-09,15.7855,17.4641,15.7855,17.2735,1023200
2000-10-10,17.2193,17.8973,17.1392,17.3016,1687200
