date,open,high,low,close,volume
2000-06-30,0.6561,0.7393,0.4556,0.5198,95540000
2000-07-03,0.5250,0.5734,0.5237,0.5571,9654000
2000-07-05,0.5678,0.5893,0.5464,0.5627,8202000
2000-07-06,0.5760,0.6347,0.5627,0.6321,8446000
2000-07-07,0.6377,0.6484,0.5893,0.5948,4748000
2000-07-10,0.5974,0.6000,0.5734,0.5760,4172000
2000-07-11,0.5691,0.5691,0.5091,0.5143,6186000
2000-07-12,0.5224,0.5520,0.5198,0.5357,2454000
2000-07-13,0.5464,0.5520,0.4903,0.4928,6010000
2000-07-14,0.4877,0.4984,0.4633,0.4688,6308000
2000-07-17,0.4581,0.4607,0.4018,0.4071,7264000
2000-07-18,0.4112,0.4341,0.3509,0.3536,7556000
2000-07-19,0.3589,0.3750,0.3509,0.3563,2886000
2000-07-20,0.3509,0.3750,0.3509,0.3750,2390000
2000-07-21,0.3957,0.4232,0.3750,0.4018,6068000
2000-07-24,0.4018,0.4018,0.3482,0.3589,2786000
2000-07-25,0.3482,0.3509,0.3268,0.3308,3162000
2000-07-26,0.3214,0.3268,0.2786,0.2893,4940000
2000-07-27,0.2732,0.2893,0.2411,0.2545,3564000
2000-07-28,0.2571,0.2571,0.2036,0.2518,8902000
2000-07-31,0.2404,0.2759,0.2143,0.2598,6476000
2000-08-01,0.2732,0.2732,0.2491,0.2571,2380000
2000-08-02,0.2464,0.2678,0.2384,0.2518,2540000
2000-08-03,0.2518,0.2531,0.2384,0.2491,1790000
2000-08-04,0.2571,0.2571,0.2411,0.2491,1170000
2000-08-07,0.2477,0.2545,0.2384,0.2491,716000
2000-08-08,0.2625,0.2652,0.2491,0.2491,1502000
2000-08-09,0.2491,0.2625,0.2491,0.2571,1366000
2000-08-10,0.2571,0.2571,0.2464,0.2518,968000
2000-08-11,0.2545,0.2545,0.2223,0.2303,984000
2000-08-14,0.2357,0.2384,0.2089,0.2143,12756000
2000-08-15,0.2130,0.2183,0.2116,0.2143,1364000
2000-08-16,0.2143,0.2250,0.2116,0.2250,2280000
