date,open,high,low,close,volume
2010-08-06,12.4722,13.5084,12.4626,13.4316,10678500
2010-08-09,13.4316,13.4316,13.1438,13.4316,1819500
2010-08-10,13.2110,13.2781,13.0287,13.0479,1579300
2010-08-11,12.7121,12.8368,11.9446,12.2324,2588200
2010-08-12,11.7623,12.0021,11.6088,11.8870,1780300
2010-08-13,11.7527,12.0213,11.3689,11.5128,957600
2010-08-16,11.3114,11.7335,11.2154,11.3018,551600
2010-08-17,11.3785,11.8007,11.2730,11.7239,1086700
2010-08-18,11.5896,12.0885,11.5128,11.5128,1010600
2010-08-19,11.4649,11.6088,10.8512,11.0811,746000
2010-08-20,10.9852,11.0331,10.5822,10.6973,450600
2010-08-23,10.8221,11.0331,10.0354,10.5342,761800
2010-08-24,10.3232,10.8413,10.0737,10.2464,746700
2010-08-25,10.0737,10.6782,9.8147,10.3136,1112200
2010-08-26,10.4959,10.6973,10.3616,10.5534,581400
2010-08-27,10.6973,11.0235,10.5438,10.6590,370900
2010-08-30,10.5630,10.8125,10.5630,10.6446,226900
2010-08-31,10.5630,10.7741,10.4287,10.6254,236000
2010-09-01,10.6302,11.4649,10.3232,11.2538,412800
2010-09-02,10.6302,11.4265,10.6302,11.3881,98500
2010-09-03,11.4169,11.8198,11.1099,11.4073,231400
2010-09-07,11.5128,11.8582,11.3018,11.5416,468400
2010-09-08,11.0235,11.6855,10.9564,11.6663,1483700
2010-09-09,11.7143,12.1125,11.0427,11.4169,235600
2010-09-10,11.4936,11.6328,11.3305,11.4936,362900
2010-09-13,11.5992,11.7431,11.3594,11.4553,303900
2010-09-14,11.3689,11.7527,11.3689,11.7431,250600
2010-09-15,12.0117,12.3955,11.8487,11.9638,561100
2010-09-16,11.9542,12.1269,11.5224,11.5320,323300
2010-09-17,11.5224,11.7527,11.3401,11.5896,252300
2010-09-20,11.7143,12.4435,11.6088,12.1748,404100
2010-09-21,12.0981,12.3283,11.8582,12.0021,178800
2010-09-22,11.8966,12.0885,11.5224,11.6855,184600
2010-09-23,11.5128,11.9829,11.4073,11.5128,320800
2010-09-24,11.6088,11.8678,11.3401,11.7239,146900
2010-09-27,11.6759,11.8870,11.5320,11.7527,186600
2010-09-28,11.7143,12.1077,11.6184,12.0981,168800
2010-09-29,12.1173,12.3571,11.9829,12.0405,238500
2010-09-30,12.1077,12.4243,11.7623,11.8870,196800
2010-10-01,11.9638,12.2516,11.7623,11.8582,170500
2010-10-04,11.8774,12.1939,11.7527,11.8486,140700
2010-10-05,11.9254,12.1748,11.7239,11.8486,256900
2010-10-06,11.8198,11.9829,11.6376,11.9638,90400
2010-10-07,11.9925,11.9925,11.1387,11.3689,252800
2010-10-08,11.3210,11.6184,11.2442,11.4936,251900
2010-10-11,11.4649,11.6567,11.4265,11.5608,63700
2010-10-12,11.5224,11.8007,11.4282,11.8007,59600
2010-10-13,11.8102,11.8294,11.5320,11.5800,222000
2010-10-14,11.5800,11.7335,11.5128,11.6567,223700
2010-10-15,11.8486,11.8486,11.3737,11.4553,396200
2010-10-18,11.4745,11.7911,11.1770,11.7431,53500
2010-10-19,11.5704,11.7527,11.5224,11.6184,130100
2010-10-20,11.6759,11.9446,11.0523,11.7047,124800
2010-10-21,11.6184,11.8966,11.6184,11.7527,58800
2010-10-22,11.7047,12.0981,11.6855,11.8294,94200
2010-10-25,11.7057,12.0789,11.7057,11.8678,128300
2010-10-26,11.7527,11.9829,11.4265,11.7815,186100
2010-10-27,11.7815,12.2804,11.7815,12.2516,263800
2010-10-28,12.2995,12.8080,12.0885,12.6545,409900
2010-10-29,12.6257,12.9232,12.3571,12.6545,434600
2010-11-01,12.7313,12.9519,12.0501,12.1748,432100
2010-11-02,12.3763,12.8848,11.9638,12.7313,300900
2010-11-03,12.6737,13.2398,12.5778,13.0820,359900
2010-11-04,13.1822,13.4316,12.9811,13.4029,274600
2010-11-05,13.3357,13.4316,13.0863,13.4029,175600
2010-11-08,13.4316,13.4316,13.0575,13.2110,179900
2010-11-09,13.1630,13.3837,12.6641,13.0767,269800
2010-11-10,13.0479,13.1726,12.5202,12.7792,172300
2010-11-11,12.6641,12.6641,12.0693,12.3331,317200
2010-11-12,12.1748,12.5490,12.1269,12.2995,115700
2010-11-15,12.3763,12.6066,12.2612,12.4530,51800
2010-11-16,12.2132,12.7265,12.1173,12.3187,206500
