date,open,high,low,close,volume
1991-12-16,0.3548,0.4025,0.3548,0.3813,143667200
1991-12-17,0.3919,0.3919,0.3707,0.3760,16176000
1991-12-18,0.3760,0.3866,0.3760,0.3866,10899200
1991-12-19,0.3866,0.3866,0.3707,0.3707,7299200
1991-12-20,0.3707,0.3866,0.3707,0.3813,5235200
1991-12-23,0.3866,0.3866,0.3707,0.3786,7894400
1991-12-24,0.3733,0.4078,0.3707,0.4078,7129600
1991-12-26,0.3972,0.4661,0.3972,0.4661,8672000
1991-12-27,0.4714,0.4714,0.4396,0.4502,6396800
1991-12-30,0.4502,0.4608,0.4396,0.4608,6627200
1991-12-31,0.4608,0.5296,0.4555,0.5243,12572800
1992-01-02,0.5243,0.5879,0.5190,0.5851,22121600
1992-01-03,0.5879,0.6038,0.5720,0.5932,6092800
1992-01-06,0.6091,0.6091,0.5137,0.5561,15987200
1992-01-07,0.5508,0.5667,0.5349,0.5402,4940800
1992-01-08,0.5455,0.5455,0.4608,0.4766,36828800
1992-01-09,0.4925,0.5243,0.4872,0.5243,20809600
1992-01-10,0.5296,0.5349,0.4925,0.5084,7961600
1992-01-13,0.5190,0.5667,0.5031,0.5508,8499200
1992-01-14,0.5667,0.5667,0.5455,0.5561,3628800
1992-01-15,0.5667,0.5773,0.5508,0.5614,5910400
1992-01-16,0.5667,0.5720,0.5243,0.5455,3654400
1992-01-17,0.5349,0.5508,0.5349,0.5349,1574400
1992-01-20,0.5296,0.5402,0.5031,0.5296,3350400
1992-01-21,0.5402,0.5402,0.4978,0.5084,3724800
1992-01-22,0.5084,0.5296,0.4978,0.5296,5132800
1992-01-23,0.5402,0.5402,0.4978,0.4978,3248000
1992-01-24,0.4978,0.5137,0.4978,0.5031,355200
1992-01-27,0.5137,0.5137,0.4819,0.4925,2675200
1992-01-28,0.4925,0.4925,0.4661,0.4766,3673600
1992-01-29,0.4819,0.4978,0.4661,0.4872,1702400
1992-01-30,0.4819,0.5190,0.4819,0.5031,2505600
1992-01-31,0.5031,0.5084,0.4978,0.5084,1702400
1992-02-03,0.5084,0.5455,0.5031,0.5216,2611200
1992-02-04,0.5243,0.5455,0.5137,0.5296,4233600
1992-02-05,0.5243,0.5349,0.5243,0.5243,3280000
1992-02-06,0.5402,0.5402,0.5137,0.5137,7232000
1992-02-07,0.5296,0.5296,0.4608,0.4978,8979200
1992-02-10,0.4819,0.4978,0.4661,0.4766,4940800
1992-02-11,0.4819,0.4978,0.4714,0.4819,1667200
1992-02-12,0.4819,0.5243,0.4714,0.5084,3603200
1992-02-13,0.5190,0.5190,0.4819,0.4819,1398400
1992-02-14,0.4925,0.4925,0.4766,0.4925,2825600
1992-02-18,0.4925,0.4925,0.4714,0.4819,1078400
1992-02-19,0.4661,0.4819,0.4608,0.4661,1408000
1992-02-20,0.4661,0.4925,0.4661,0.4925,5705600
1992-02-21,0.4766,0.4925,0.4449,0.4449,3836800
1992-02-24,0.4449,0.4608,0.3919,0.4156,12384000
1992-02-25,0.4290,0.4396,0.4078,0.4237,3513600
1992-02-26,0.4449,0.4449,0.4237,0.4396,3200000
1992-02-27,0.4396,0.4396,0.4131,0.4290,1209600
1992-02-28,0.4343,0.4396,0.4184,0.4343,3011200
1992-03-02,0.4343,0.4396,0.4184,0.4343,1257600
1992-03-03,0.4396,0.4502,0.4184,0.4184,4022400
1992-03-04,0.4237,0.4237,0.4131,0.4131,5580800
1992-03-05,0.4184,0.4184,0.3972,0.4025,1920000
1992-03-06,0.4131,0.4131,0.3707,0.3919,6329600
1992-03-09,0.3972,0.3972,0.3707,0.3919,2809600
1992-03-10,0.3972,0.4184,0.3919,0.4184,1900800
1992-03-11,0.4184,0.4237,0.3866,0.3919,5577600
1992-03-12,0.3972,0.4184,0.3866,0.4078,1644800
1992-03-13,0.4025,0.4237,0.3972,0.4078,4976000
1992-03-16,0.4078,0.4078,0.3919,0.3919,739200
1992-03-17,0.3972,0.4131,0.3972,0.3972,1865600
1992-03-18,0.4184,0.4396,0.4131,0.4317,3753600
1992-03-19,0.4343,0.4608,0.4237,0.4608,6108800
1992-03-20,0.4661,0.4925,0.4661,0.4714,5392000
1992-03-23,0.4819,0.4872,0.4502,0.4555,5219200
1992-03-24,0.4714,0.4766,0.4502,0.4555,5760000
1992-03-25,0.4661,0.4714,0.4555,0.4661,3718400
1992-03-26,0.4766,0.4766,0.4608,0.4714,2089600
1992-03-27,0.4608,0.4714,0.4555,0.4555,1456000
1992-03-30,0.4555,0.4714,0.4396,0.4555,2339200
1992-03-31,0.4396,0.4925,0.4184,0.4872,5353600
1992-04-01,0.4555,0.4872,0.4555,0.4633,3868800
1992-04-02,0.4714,0.4714,0.4131,0.4396,2947200
1992-04-03,0.4290,0.4661,0.4290,0.4396,3414400
1992-04-06,0.4449,0.4502,0.4290,0.4476,2742400
1992-04-07,0.4608,0.4661,0.4449,0.4502,2579200
1992-04-08,0.4396,0.4661,0.4396,0.4502,3123200
1992-04-09,0.4502,0.4555,0.4368,0.4449,4313600
1992-04-10,0.4555,0.4555,0.4449,0.4555,592000
1992-04-13,0.4555,0.4714,0.4449,0.4661,2115200
1992-04-14,0.4714,0.4925,0.4661,0.4766,1955200
1992-04-15,0.4978,0.5031,0.4714,0.4925,6112000
1992-04-16,0.5031,0.5084,0.4845,0.4845,2646400
1992-04-20,0.4766,0.5190,0.4766,0.4872,3318400
1992-04-21,0.5084,0.5084,0.4872,0.4925,1952000
1992-04-22,0.5031,0.5084,0.4872,0.5084,2198400
1992-04-23,0.4978,0.5084,0.4766,0.4925,1555200
1992-04-24,0.4845,0.4925,0.4819,0.4819,2112000
1992-04-27,0.4925,0.4925,0.4766,0.4766,1984000
1992-04-28,0.4925,0.4925,0.4502,0.4502,1923200
1992-04-29,0.4608,0.4608,0.4502,0.4608,563200
1992-04-30,0.4608,0.4608,0.4343,0.4449,3433600
1992-05-01,0.4502,0.4502,0.4396,0.4502,1120000
1992-05-04,0.4502,0.4608,0.4396,0.4502,3014400
1992-05-05,0.4608,0.4661,0.4502,0.4555,300800
1992-05-06,0.4633,0.4661,0.4502,0.4555,1779200
1992-05-07,0.4661,0.4661,0.4502,0.4502,412800
1992-05-08,0.4502,0.4661,0.4502,0.4502,179200
1992-05-11,0.4661,0.4661,0.4396,0.4502,1318400
1992-05-12,0.4502,0.4502,0.4237,0.4237,1654400
1992-05-13,0.4343,0.4343,0.4025,0.4078,3331200
1992-05-14,0.4184,0.4184,0.3972,0.4078,6102400
1992-05-15,0.4025,0.4078,0.3919,0.3972,1612800
