date,open,high,low,close,volume
1992-06-26,0.2709,0.2870,0.2645,0.2774,224358400
1992-06-29,0.2806,0.3032,0.2741,0.2967,58732800
1992-06-30,0.3032,0.3064,0.2838,0.2870,34777600
1992-07-01,0.2903,0.2967,0.2806,0.2935,18316800
1992-07-02,0.2967,0.2967,0.2870,0.2935,13996800
1992-07-06,0.2903,0.2935,0.2870,0.2935,5753600
1992-07-07,0.2935,0.2935,0.2870,0.2935,10662400
1992-07-08,0.2935,0.2935,0.2838,0.2870,15500800
1992-07-09,0.2903,0.2967,0.2870,0.2967,3923200
1992-07-10,0.2967,0.3032,0.2903,0.2999,11040000
1992-07-13,0.2999,0.3064,0.2967,0.3064,5996800
1992-07-14,0.3064,0.3161,0.3032,0.3064,17062400
1992-07-15,0.3096,0.3161,0.3064,0.3161,4992000
1992-07-16,0.3161,0.3419,0.3128,0.3371,17062400
1992-07-17,0.3386,0.3612,0.3290,0.3548,15667200
1992-07-20,0.3532,0.3612,0.3451,0.3580,19744000
1992-07-21,0.3612,0.3677,0.3548,0.3612,7782400
1992-07-22,0.3580,0.3612,0.3483,0.3580,10892800
1992-07-23,0.3580,0.3644,0.3515,0.3644,10387200
1992-07-24,0.3580,0.3709,0.3548,0.3677,7052800
1992-07-27,0.3709,0.3838,0.3677,0.3758,11430400
1992-07-28,0.3806,0.3838,0.3548,0.3612,18009600
1992-07-29,0.3612,0.3612,0.3354,0.3434,30848000
1992-07-30,0.3386,0.3451,0.3322,0.3419,11737600
1992-07-31,0.3419,0.3451,0.3354,0.3434,6886400
1992-08-03,0.3386,0.3515,0.3386,0.3466,4832000
1992-08-04,0.3483,0.3548,0.3403,0.3532,6822400
1992-08-05,0.3515,0.3515,0.3322,0.3386,9516800
1992-08-06,0.3354,0.3386,0.3290,0.3386,3673600
1992-08-07,0.3386,0.3515,0.3290,0.3515,8825600
1992-08-10,0.3451,0.3580,0.3419,0.3515,5888000
1992-08-11,0.3580,0.3580,0.3483,0.3548,4147200
1992-08-12,0.3483,0.3515,0.3322,0.3386,12736000
1992-08-13,0.3386,0.3434,0.3322,0.3386,48320000
1992-08-14,0.3354,0.3419,0.3161,0.3193,17849600
1992-08-17,0.3225,0.3257,0.3161,0.3257,2681600
1992-08-18,0.3161,0.3225,0.3161,0.3225,2860800
1992-08-19,0.3161,0.3225,0.3161,0.3225,2380800
1992-08-20,0.3225,0.3305,0.3128,0.3193,2489600
1992-08-21,0.3193,0.3193,0.3128,0.3128,2048000
1992-08-24,0.3161,0.3193,0.3096,0.3161,6905600
1992-08-25,0.3096,0.3161,0.3096,0.3128,4128000
1992-08-26,0.3096,0.3161,0.2967,0.3096,19385600
1992-08-27,0.3128,0.3193,0.3096,0.3161,6169600
1992-08-28,0.3161,0.3225,0.3128,0.3225,3417600
1992-08-31,0.3225,0.3257,0.3161,0.3208,4441600
1992-09-01,0.3225,0.3322,0.3193,0.3257,2387200
1992-09-02,0.3322,0.3580,0.3257,0.3563,11692800
1992-09-03,0.3548,0.3741,0.3548,0.3677,16480000
1992-09-04,0.3677,0.3741,0.3644,0.3709,4249600
1992-09-08,0.3741,0.4096,0.3677,0.4016,17139200
1992-09-09,0.3838,0.4031,0.3741,0.3967,25299200
1992-09-10,0.3902,0.3967,0.3838,0.3935,8889600
1992-09-11,0.3902,0.4128,0.3902,0.4031,13036800
1992-09-14,0.4096,0.4257,0.4064,0.4225,13068800
1992-09-15,0.4160,0.4240,0.3967,0.3967,18099200
1992-09-16,0.3806,0.3935,0.3773,0.3838,14963200
1992-09-17,0.3870,0.3902,0.3612,0.3677,13459200
1992-09-18,0.3612,0.3677,0.3451,0.3515,17260800
1992-09-21,0.3548,0.3870,0.3451,0.3806,24012800
1992-09-22,0.3806,0.3999,0.3741,0.3967,19206400
1992-09-23,0.3967,0.3967,0.3773,0.3935,26912000
1992-09-24,0.3967,0.3999,0.3870,0.3967,5459200
1992-09-25,0.3935,0.4031,0.3902,0.3935,12102400
1992-09-28,0.3967,0.4160,0.3935,0.4145,7532800
1992-09-29,0.4096,0.4160,0.3967,0.3982,9593600
1992-09-30,0.3967,0.4031,0.3902,0.3902,11123200
1992-10-01,0.3967,0.3967,0.3773,0.3806,4556800
1992-10-02,0.3773,0.3806,0.3612,0.3709,5926400
1992-10-05,0.3515,0.3741,0.3483,0.3741,12755200
1992-10-06,0.3806,0.3806,0.3677,0.3773,6022400
1992-10-07,0.3773,0.3773,0.3677,0.3677,3692800
1992-10-08,0.3709,0.3773,0.3677,0.3773,2470400
1992-10-09,0.3773,0.3773,0.3677,0.3692,2432000
1992-10-12,0.3677,0.3838,0.3677,0.3838,4134400
