date,open,high,low,close,volume
1972-06-01,1.0029,1.0055,0.9970,1.0039,825600
1972-06-02,1.0146,1.0246,1.0146,1.0223,2496000
1972-06-05,1.0223,1.0339,1.0200,1.0239,960000
1972-06-06,1.0239,1.0262,0.9808,0.9808,1824000
1972-06-07,0.9808,0.9854,0.9770,0.9770,604800
1972-06-08,0.9770,0.9893,0.9763,0.9785,1180800
1972-06-09,0.9785,0.9801,0.9663,0.9739,451200
1972-06-12,0.9777,0.9808,0.9777,0.9801,153600
1972-06-13,0.9847,1.0208,0.9847,1.0208,700800
1972-06-14,1.0262,1.0431,1.0262,1.0385,787200
1972-06-15,1.0385,1.0507,1.0339,1.0377,787200
1972-06-16,1.0346,1.0346,1.0216,1.0308,576000
1972-06-19,1.0270,1.0270,1.0200,1.0262,720000
1972-06-20,1.0339,1.0431,1.0339,1.0431,460800
1972-06-21,1.0431,1.0523,1.0369,1.0369,1872000
1972-06-22,1.0369,1.0385,1.0323,1.0377,604800
1972-06-23,1.0400,1.0500,1.0400,1.0492,787200
1972-06-26,1.0477,1.0477,1.0423,1.0477,470400
1972-06-27,1.0477,1.0507,1.0323,1.0400,1008000
1972-06-28,1.0385,1.0385,1.0323,1.0323,57600
1972-06-29,1.0239,1.0239,1.0170,1.0185,326400
1972-06-30,1.0223,1.0431,1.0223,1.0369,441600
1972-07-03,1.0354,1.0354,1.0292,1.0323,422400
1972-07-05,1.0323,1.0723,1.0308,1.0646,1065600
1972-07-06,1.0692,1.0799,1.0692,1.0784,1008000
1972-07-07,1.0784,1.0938,1.0769,1.0938,1094400
1972-07-10,1.0892,1.0892,1.0692,1.0692,1344000
1972-07-11,1.0692,1.0776,1.0646,1.0692,739200
1972-07-12,1.0692,1.0776,1.0630,1.0630,604800
1972-07-13,1.0630,1.0630,1.0523,1.0554,422400
1972-07-14,1.0569,1.0654,1.0569,1.0569,364800
1972-07-17,1.0569,1.0569,1.0277,1.0277,547200
1972-07-18,1.0216,1.0216,1.0001,1.0131,1161600
1972-07-19,1.0231,1.0400,1.0231,1.0292,1219200
1972-07-20,1.0270,1.0270,1.0200,1.0200,643200
1972-07-21,1.0200,1.0438,1.0177,1.0438,1420800
1972-07-24,1.0546,1.0784,1.0546,1.0738,2448000
1972-07-25,1.0738,1.0738,1.0668,1.0715,316800
1972-07-26,1.0715,1.0815,1.0707,1.0815,806400
1972-07-27,1.0815,1.0900,1.0769,1.0784,700800
1972-07-28,1.0738,1.0738,1.0638,1.0646,355200
1972-07-31,1.0646,1.0676,1.0507,1.0546,902400
1972-08-01,1.0546,1.0738,1.0531,1.0738,1843200
1972-08-02,1.0769,1.0861,1.0769,1.0861,1286400
1972-08-03,1.0861,1.0922,1.0815,1.0900,662400
1972-08-04,1.0938,1.1183,1.0938,1.1153,902400
1972-08-07,1.1153,1.1337,1.1122,1.1337,700800
1972-08-08,1.1337,1.1445,1.1199,1.1445,1123200
1972-08-09,1.1445,1.1675,1.1422,1.1621,2054400
1972-08-10,1.1621,1.1637,1.1567,1.1614,547200
1972-08-11,1.1575,1.1575,1.1475,1.1575,297600
1972-08-14,1.1567,1.1567,1.1306,1.1306,499200
1972-08-15,1.1306,1.1398,1.1061,1.1061,5212800
1972-08-16,1.1061,1.1091,1.0892,1.0907,844800
1972-08-17,1.0907,1.0968,1.0815,1.0815,518400
1972-08-18,1.0845,1.0930,1.0845,1.0914,134400
1972-08-21,1.0900,1.0900,1.0668,1.0684,796800
1972-08-22,1.0684,1.0692,1.0630,1.0638,2409600
1972-08-23,1.0638,1.0738,1.0638,1.0638,384000
1972-08-24,1.0638,1.0661,1.0638,1.0638,499200
1972-08-25,1.0646,1.0753,1.0646,1.0723,960000
1972-08-28,1.0723,1.0807,1.0646,1.0646,1584000
1972-08-29,1.0646,1.0745,1.0646,1.0745,537600
1972-08-30,1.0745,1.0776,1.0646,1.0661,211200
1972-08-31,1.0661,1.0761,1.0569,1.0753,681600
1972-09-01,1.0769,1.0900,1.0769,1.0799,499200
1972-09-05,1.0799,1.0807,1.0699,1.0699,144000
1972-09-06,1.0676,1.0676,1.0523,1.0569,201600
1972-09-07,1.0538,1.0538,1.0246,1.0323,2112000
1972-09-08,1.0323,1.0369,1.0262,1.0262,336000
1972-09-11,1.0170,1.0170,1.0031,1.0047,2486400
1972-09-12,1.0047,1.0123,0.9808,0.9893,2544000
1972-09-13,0.9893,1.0131,0.9854,1.0131,1478400
1972-09-14,1.0115,1.0115,0.9939,1.0077,2803200
1972-09-15,1.0055,1.0055,0.9970,1.0016,681600
1972-09-18,1.0001,1.0001,0.9878,0.9954,489600
1972-09-19,0.9985,1.0016,0.9985,1.0016,979200
1972-09-20,1.0016,1.0024,0.9816,1.0024,1113600
1972-09-21,1.0031,1.0346,1.0031,1.0346,1046400
1972-09-22,1.0346,1.0469,1.0346,1.0454,1017600
1972-09-25,1.0454,1.0492,1.0339,1.0339,316800
1972-09-26,1.0339,1.0431,1.0339,1.0400,393600
1972-09-27,1.0400,1.0654,1.0262,1.0654,2323200
1972-09-28,1.0654,1.1360,1.0569,1.1360,1507200
1972-09-29,1.1237,1.1237,1.0753,1.0830,3465600
1972-10-02,1.0830,1.0861,1.0730,1.0823,480000
1972-10-03,1.0815,1.0815,1.0692,1.0769,336000
1972-10-04,1.0769,1.0784,1.0692,1.0745,1478400
1972-10-05,1.0730,1.0730,1.0523,1.0523,835200
1972-10-06,1.0523,1.0592,1.0200,1.0385,2409600
1972-10-09,1.0400,1.0469,1.0400,1.0431,441600
1972-10-10,1.0461,1.0668,1.0461,1.0531,931200
1972-10-11,1.0531,1.0554,1.0393,1.0454,528000
1972-10-12,1.0423,1.0423,1.0285,1.0285,364800
1972-10-13,1.0285,1.0292,1.0200,1.0231,960000
1972-10-16,1.0208,1.0208,1.0101,1.0101,326400
1972-10-17,1.0101,1.0162,1.0101,1.0139,652800
1972-10-18,1.0139,1.0262,1.0123,1.0246,1017600
1972-10-19,1.0246,1.0354,1.0231,1.0231,835200
1972-10-20,1.0231,1.0316,1.0185,1.0285,1094400
1972-10-23,1.0385,1.0769,1.0385,1.0723,1555200
1972-10-24,1.0723,1.0869,1.0584,1.0815,1430400
1972-10-25,1.0815,1.0914,1.0738,1.0745,15072
1972-10-26,1.0745,1.0876,1.0723,1.0730,4838400
1972-10-27,1.0707,1.0707,1.0661,1.0668,249600
1972-10-30,1.0668,1.0738,1.0646,1.0723,451200
1972-10-31,1.0730,1.0922,1.0730,1.0914,1296000
1972-11-01,1.0914,1.0953,1.0815,1.0876,1248000
1972-11-02,1.0876,1.0907,1.0769,1.0876,470400
