date,open,high,low,close,volume
2009-10-07,26.4801,28.4122,25.9015,26.6959,63739500
2009-10-08,26.8038,26.9116,25.9897,26.0878,6906700
2009-10-09,26.3134,26.9607,25.8721,25.8917,3361300
2009-10-12,26.7645,27.3628,25.5974,25.7446,7177000
2009-10-13,26.1565,26.7351,26.0290,26.6665,3296000
2009-10-14,26.7253,27.6948,26.4801,27.4511,3222400
2009-10-15,27.7355,28.2455,27.2157,27.7649,3181300
2009-10-16,27.9022,28.0493,27.0195,28.0179,3974100
2009-10-19,27.9709,28.3337,26.9705,26.9705,1892100
2009-10-20,26.9705,27.5589,26.8234,27.5197,3387000
2009-10-21,27.4609,27.8041,27.3236,27.4609,1079000
2009-10-22,27.2255,27.9316,26.7940,27.3530,1172500
2009-10-23,27.4609,27.8434,26.9804,27.8237,2385700
2009-10-26,27.2941,28.0493,27.2255,27.9022,834400
2009-10-27,27.9905,28.6868,27.3922,28.0101,1578700
2009-10-28,27.6668,28.0003,27.0293,27.1568,1153500
2009-10-29,27.3432,27.4609,27.2157,27.3530,563500
2009-10-30,27.4609,27.5295,26.7743,26.9018,819600
2009-11-02,26.8528,27.1176,26.0878,26.8430,978000
2009-11-03,26.9018,26.9607,26.3330,26.8332,696500
2009-11-04,26.8038,26.9509,26.4311,26.4409,461200
2009-11-05,26.4997,27.0686,26.4507,26.7743,470400
2009-11-06,26.6272,26.8136,26.4311,26.5782,310800
2009-11-09,26.7253,27.1568,26.5292,27.0490,615600
2009-11-10,26.7253,27.7159,26.7253,27.1372,287300
2009-11-11,27.3922,28.5593,27.0980,28.4220,1174600
2009-11-12,28.2258,29.4224,27.8826,28.3435,1211600
2009-11-13,28.2258,28.5201,27.9610,28.3435,414900
2009-11-16,28.1964,28.4514,27.7061,28.2945,1424300
2009-11-17,28.0003,28.4024,26.8724,27.3138,2496000
2009-11-18,27.8434,28.4416,27.6178,27.9512,730900
2009-11-19,28.2553,28.3337,27.4020,27.9905,1223600
2009-11-20,27.9512,28.0884,27.8728,28.0003,875700
2009-11-23,28.1278,28.1278,27.1372,27.8532,447600
2009-11-24,27.6374,27.6374,27.1176,27.2451,685400
2009-11-25,27.1863,27.2755,26.6468,26.7743,892800
2009-11-27,26.4409,26.6567,26.1467,26.4703,264600
2009-11-30,26.8136,26.8724,26.2153,26.3919,888700
2009-12-01,26.3919,27.5099,26.3919,27.2451,617200
2009-12-02,27.2255,27.2745,26.8234,26.9803,820900
2009-12-03,27.2745,27.4020,26.9705,27.1863,491800
2009-12-04,27.3138,27.8924,27.3138,27.8826,535500
2009-12-07,27.6570,28.4220,27.4020,28.1866,361500
2009-12-08,27.8630,28.3632,27.3628,28.0591,398200
2009-12-09,27.7845,28.1474,27.6374,28.0983,449600
2009-12-10,28.0199,28.1474,27.5884,27.8532,435200
2009-12-11,27.4805,28.2553,27.4609,28.1082,590700
2009-12-14,28.0101,28.4808,28.0101,28.4318,502300
2009-12-15,28.3730,28.9026,28.2160,28.7358,891900
2009-12-16,28.7064,30.3737,28.5887,29.8048,1572400
2009-12-17,29.6675,30.0500,29.4224,29.8147,929200
2009-12-18,29.7950,30.4031,29.1576,29.9716,8298500
2009-12-21,30.1873,30.1873,29.3146,29.9127,885900
2009-12-22,29.7558,30.2560,29.5204,29.9912,420900
2009-12-23,30.0893,30.3443,29.6283,30.0893,845700
2009-12-24,30.1971,30.5796,30.0893,30.2070,170800
2009-12-28,30.2952,30.5208,30.0304,30.3639,250100
2009-12-29,30.3246,30.5404,30.1102,30.4031,283400
2009-12-30,30.3148,30.4031,29.8637,30.4031,175200
2009-12-31,30.2658,30.4031,29.6283,29.6970,154600
2010-01-04,29.8245,29.9127,29.0987,29.2752,390000
2010-01-05,29.2752,29.4910,28.9222,29.4714,430000
2010-01-06,29.4224,30.2756,29.4224,29.8539,848900
2010-01-07,29.7754,30.0893,29.2262,29.8048,426600
2010-01-08,29.6283,29.6872,29.4027,29.4224,253200
2010-01-11,29.4518,29.5253,29.1772,29.3537,676500
2010-01-12,29.4125,29.7950,29.2654,29.5793,742000
2010-01-13,29.5204,29.7068,29.5204,29.5695,394400
2010-01-14,29.5106,29.5204,29.3145,29.3341,301100
2010-01-15,29.1968,29.3439,28.1082,28.3926,766000
2010-01-19,28.2847,28.2847,27.2745,27.4118,1531700
2010-01-20,27.2745,27.5589,27.1519,27.4511,957600
2010-01-21,27.4511,27.8532,27.3726,27.5001,681800
2010-01-22,27.6570,27.8237,27.3922,27.4707,595600
2010-01-25,27.4412,27.6962,27.3726,27.4118,256500
2010-01-26,27.2941,28.1964,27.2941,27.8041,302600
2010-01-27,27.6864,28.6770,27.4707,28.3435,475200
2010-01-28,28.1964,28.4661,28.0199,28.2160,495200
2010-01-29,28.2749,28.3435,27.4609,27.5786,389800
2010-02-01,27.6668,27.9120,27.6570,27.8630,400800
2010-02-02,27.8434,28.0395,27.3628,27.4216,536200
2010-02-03,27.4216,27.5884,27.3628,27.4511,309300
2010-02-04,27.3922,27.4020,27.1764,27.2157,617700
2010-02-05,27.2157,27.2843,26.1369,27.1666,645500
2010-02-08,27.1961,27.3726,26.8528,27.0980,632500
2010-02-09,27.0490,27.5589,27.0490,27.3039,1451000
2010-02-10,27.4216,27.5491,26.9803,27.3039,496600
2010-02-11,27.1666,27.6374,27.1666,27.4805,346900
2010-02-12,27.1764,27.8434,26.9999,27.7649,875600
2010-02-16,27.5589,27.8630,27.4118,27.7061,213500
2010-02-17,27.5295,27.7551,27.3138,27.4020,456100
2010-02-18,27.2353,27.5589,27.1274,27.4609,613800
2010-02-19,27.2941,27.6864,27.2941,27.4707,152500
2010-02-22,27.4609,27.8728,27.3530,27.6962,290500
2010-02-23,27.8728,27.8728,27.2843,27.4707,390400
2010-02-24,27.4511,27.4609,27.3432,27.4216,263000
2010-02-25,27.2941,27.5148,27.2941,27.4412,328900
2010-02-26,27.5393,27.7551,27.4216,27.7551,632800
2010-03-01,27.9120,28.1866,27.6766,27.8532,321800
2010-03-02,27.8532,28.0983,27.2549,27.4805,468000
2010-03-03,27.4020,27.5884,26.8430,27.0980,663200
2010-03-04,27.0391,27.4020,26.5292,26.7155,294700
2010-03-05,26.7449,27.0490,26.7351,26.8528,716400
2010-03-08,26.7155,28.7849,26.6468,28.4710,680100
2010-03-09,28.2160,28.3632,27.4314,27.9022,706800
2010-03-10,27.8041,28.2342,27.8041,27.9807,413000
2010-03-11,28.0395,28.0493,27.4609,27.6472,479100
2010-03-12,27.8826,28.1523,27.4609,27.6570,537800
2010-03-15,27.5295,27.6472,27.3530,27.5589,463300
2010-03-16,27.5197,27.6080,27.4412,27.5099,623800
2010-03-17,27.6080,27.6080,27.4609,27.4707,415200
2010-03-18,27.4707,27.9512,27.4609,27.8237,232800
2010-03-19,27.8041,27.9807,27.2451,27.7453,462000
2010-03-22,27.6766,28.2160,27.5982,27.6570,253800
2010-03-23,27.5099,27.8728,27.2745,27.4609,341500
2010-03-24,27.4609,27.7159,27.2843,27.4805,628600
2010-03-25,27.5099,27.8924,27.3824,27.4609,230300
2010-03-26,27.4805,27.5884,27.4314,27.5295,314300
2010-03-29,27.5197,27.6864,27.2157,27.4609,317000
2010-03-30,27.5687,27.6766,27.2990,27.3726,732900
2010-03-31,27.3922,27.8139,27.3922,27.6570,480200
2010-04-01,27.7061,27.8728,27.3334,27.4511,537000
2010-04-05,27.1470,27.5197,26.9999,27.3530,406400
2010-04-06,27.1863,27.6472,27.0588,27.6178,543700
2010-04-07,27.4805,27.6325,26.9901,27.2745,548500
2010-04-08,27.1274,27.3922,26.9901,27.1176,318300
2010-04-09,27.2745,27.5491,27.1078,27.4412,411400
2010-04-12,27.3432,27.7453,27.2353,27.5001,181300
2010-04-13,27.4609,27.7943,27.4511,27.5295,938700
2010-04-14,27.4805,28.0885,27.4805,28.0101,1019800
2010-04-15,27.8434,27.9709,27.5884,27.6472,438900
2010-04-16,27.5197,27.6570,27.4609,27.4805,356700
2010-04-19,27.4805,27.9414,27.3628,27.6962,295500
2010-04-20,27.7845,28.1768,27.6472,27.7453,177100
2010-04-21,27.8139,28.0493,27.4609,27.6178,406100
2010-04-22,27.4707,27.8139,27.4609,27.6570,225800
2010-04-23,27.5393,27.8434,27.5197,27.7649,211700
2010-04-26,27.6668,28.0885,27.6668,28.0101,344800
2010-04-27,27.9758,28.0444,27.7453,27.9610,221200
2010-04-28,27.7845,27.7845,27.2157,27.2647,518600
2010-04-29,27.3236,27.5295,27.1568,27.4903,532000
2010-04-30,27.3824,28.1768,27.3824,27.4805,269600
2010-05-03,27.3628,27.6945,27.2549,27.6080,530400
2010-05-04,27.4805,27.9120,27.4020,27.8041,471600
2010-05-05,27.5393,28.0101,27.4609,27.7551,423100
2010-05-06,27.6570,27.9022,27.2451,27.4511,604500
2010-05-07,27.2451,27.6864,26.9347,27.1863,1907800
2010-05-10,27.9316,27.9414,27.1176,27.2941,889100
2010-05-11,27.1372,27.9610,27.0293,27.9120,584200
2010-05-12,28.2945,29.7362,27.7747,29.3439,2098900
2010-05-13,29.0889,30.8739,28.9810,29.7166,1505400
2010-05-14,29.5989,30.3443,29.5204,30.2364,1102700
2010-05-17,30.1873,31.1387,29.9421,30.1579,1406200
2010-05-18,30.2070,30.5453,29.5302,29.7166,1480700
2010-05-19,29.4616,29.9029,29.0301,29.4125,735000
2010-05-20,28.9026,29.6970,28.4122,28.6770,572200
2010-05-21,28.3239,28.6961,27.9120,28.4514,1018600
2010-05-24,28.2553,29.1576,28.2553,28.6672,964300
2010-05-25,28.0689,29.1576,27.8728,29.1576,1114400
2010-05-26,29.4714,29.6283,28.4514,28.6868,4949700
2010-05-27,28.8829,29.3537,28.7554,29.1870,736200
2010-05-28,29.0104,29.8147,29.0104,29.6675,515900
2010-06-01,29.7460,29.8931,29.0399,29.1281,673000
2010-06-02,29.0006,29.6773,28.6868,29.6773,757500
2010-06-03,29.5204,30.2070,29.4714,30.1187,667300
2010-06-04,29.6970,29.9127,29.3341,29.4420,896100
2010-06-07,29.4910,29.9912,28.9908,29.0104,692100
2010-06-08,28.9222,29.1576,28.7554,29.0104,935700
2010-06-09,29.2360,29.4125,28.2945,28.3926,791200
2010-06-10,28.6476,28.9712,28.2651,28.9026,640900
2010-06-11,28.6378,29.0399,28.6378,28.9810,234800
2010-06-14,29.0791,29.9323,28.9908,29.8147,424700
2010-06-15,29.9127,30.0696,29.0889,29.9421,688400
2010-06-16,29.7558,29.8833,29.5400,29.6381,390900
2010-06-17,29.8245,30.0108,29.6087,29.7656,279900
2010-06-18,29.8147,29.9127,29.6185,29.8147,332800
2010-06-21,29.9127,30.0107,29.3145,29.3929,223700
