date,open,high,low,close,volume
1985-09-24,2.2039,2.2039,2.1861,2.1978,7500000
1985-09-25,2.1917,2.2039,2.1917,2.2039,6840000
1985-09-26,2.1447,2.1508,2.1099,2.1212,26000
1985-09-30,2.1212,2.1391,2.1155,2.1391,94000
1985-10-01,2.1273,2.1626,2.1212,2.1447,170800
1985-10-02,2.1334,2.1682,2.1334,2.1508,122400
1985-10-03,2.1508,2.1569,2.1391,2.1569,34400
1985-10-04,2.1447,2.1626,2.1391,2.1626,149200
1985-10-07,2.1508,2.1743,2.1447,2.1626,336400
1985-10-08,2.1569,2.1804,2.1569,2.1626,24000
1985-10-09,2.1569,2.1917,2.1569,2.1743,282000
1985-10-10,2.1626,2.1861,2.1626,2.1743,36800
1985-10-11,2.1626,2.1804,2.1626,2.1743,42400
1985-10-14,2.1682,2.1861,2.1626,2.1861,47600
1985-10-15,2.1978,2.2039,2.1804,2.1917,87600
1985-10-16,2.1804,2.1917,2.1743,2.1804,40400
1985-10-17,2.1743,2.1978,2.1743,2.1861,38400
1985-10-18,2.1804,2.1804,2.1743,2.1804,13600
1985-10-21,2.1917,2.1978,2.1917,2.1917,94800
1985-10-22,2.1917,2.2213,2.1917,2.2152,47600
1985-10-23,2.2039,2.2448,2.2039,2.2331,56800
1985-10-24,2.2213,2.2274,2.1978,2.2039,200000
1985-10-25,2.2152,2.2566,2.2096,2.2448,136800
1985-10-28,2.2448,2.2448,2.2096,2.2331,266800
1985-10-29,2.2213,2.2448,2.2096,2.2387,96800
1985-10-30,2.2274,2.2448,2.2213,2.2274,91600
1985-10-31,2.2331,2.2566,2.2213,2.2509,321200
1985-11-01,2.2387,2.2980,2.2387,2.2744,295200
1985-11-04,2.2857,2.2980,2.2622,2.2744,225200
1985-11-05,2.2683,2.2918,2.2683,2.2801,119600
1985-11-06,2.3036,2.3036,2.2801,2.2857,70800
1985-11-07,2.2857,2.2857,2.2622,2.2744,253600
1985-11-08,2.2801,2.2801,2.2683,2.2744,105200
1985-11-11,2.2744,2.3036,2.2683,2.3036,392400
1985-11-12,2.3036,2.3271,2.2857,2.3092,131200
1985-11-13,2.3036,2.3153,2.3036,2.3036,140400
1985-11-14,2.3092,2.3092,2.2918,2.3092,370400
1985-11-15,2.3092,2.3092,2.2801,2.2918,161600
1985-11-18,2.3036,2.3036,2.2744,2.3036,48800
1985-11-19,2.3092,2.3327,2.3036,2.3092,80400
1985-11-20,2.3092,2.3327,2.3092,2.3215,225600
1985-11-21,2.3327,2.3624,2.3271,2.3624,249200
1985-11-22,2.3685,2.3741,2.3624,2.3685,196800
1985-11-25,2.3624,2.3685,2.3562,2.3685,158000
1985-11-26,2.3562,2.3562,2.3506,2.3562,39200
1985-11-27,2.3450,2.3624,2.3450,2.3506,86400
1985-11-29,2.3389,2.3450,2.3327,2.3389,30400
1985-12-02,2.3450,2.3506,2.3327,2.3506,39200
1985-12-03,2.3389,2.3506,2.3327,2.3450,146000
1985-12-04,2.3327,2.3506,2.3327,2.3506,107200
1985-12-05,2.3624,2.3685,2.3450,2.3685,85600
1985-12-06,2.3685,2.3685,2.3271,2.3327,248800
1985-12-09,2.3450,2.3920,2.3389,2.3798,280000
1985-12-10,2.3859,2.3976,2.3741,2.3741,720000
1985-12-11,2.3798,2.4211,2.3685,2.3976,108800
1985-12-12,2.4094,2.4094,2.3798,2.3859,74000
1985-12-13,2.3976,2.4564,2.3976,2.4329,102000
1985-12-16,2.4446,2.4916,2.4329,2.4916,212400
1985-12-17,2.4799,2.5565,2.4681,2.5330,430800
1985-12-18,2.5330,2.5565,2.5151,2.5504,298000
1985-12-19,2.5622,2.5739,2.5208,2.5208,124800
1985-12-20,2.5095,2.5330,2.4799,2.5034,269200
1985-12-23,2.4916,2.4973,2.4564,2.4738,261600
1985-12-24,2.4446,2.4564,2.4329,2.4446,782400
1985-12-26,2.3859,2.4268,2.3859,2.3859,8720000
1985-12-27,2.3859,2.4211,2.3859,2.4033,27200
1985-12-30,2.4268,2.4446,2.4211,2.4390,82400
1985-12-31,2.4503,2.4916,2.4503,2.4916,50400
1986-01-02,2.4916,2.4916,2.4564,2.4681,147200
1986-01-03,2.4681,2.4916,2.4625,2.4799,95200
1986-01-06,2.4738,2.4916,2.4625,2.4799,62800
1986-01-07,2.5151,2.5269,2.4860,2.5151,122000
1986-01-08,2.5095,2.5269,2.4799,2.4799,113200
1986-01-09,2.4799,2.4916,2.4033,2.4094,135600
1986-01-10,2.3976,2.4211,2.3859,2.3859,103600
1986-01-13,2.3976,2.3976,2.3506,2.3562,511200
1986-01-14,2.3562,2.3976,2.3562,2.3798,86000
1986-01-15,2.3685,2.3920,2.3624,2.3920,310400
1986-01-16,2.3976,2.3976,2.3741,2.3859,46000
1986-01-17,2.3798,2.3976,2.3624,2.3976,252800
1986-01-20,2.3920,2.4094,2.3920,2.4033,77600
1986-01-21,2.4033,2.4329,2.4033,2.4211,437600
1986-01-22,2.4211,2.4329,2.4094,2.4211,652800
1986-01-23,2.4329,2.4390,2.4211,2.4268,473200
1986-01-24,2.4390,2.4446,2.4268,2.4446,848000
1986-01-27,2.4503,2.4916,2.4329,2.4799,182400
1986-01-28,2.5387,2.5565,2.5269,2.5504,105600
1986-01-29,2.5387,2.5739,2.5330,2.5387,565600
1986-01-30,2.5269,2.6092,2.5269,2.5565,583600
1986-01-31,2.5443,2.5739,2.5208,2.5387,230400
1986-02-03,2.5387,2.5800,2.5330,2.5622,213200
1986-02-04,2.5565,2.5739,2.5504,2.5504,118000
1986-02-05,2.5739,2.5739,2.5443,2.5739,312400
1986-02-06,2.5739,2.5800,2.5504,2.5622,424800
