Symbol,P2018S,P2018E,ROI,P2022
ETSY,20.50,47.57,132.04,218.94
DXCM,57.62,119.80,107.91,536.95
ENPH,2.39,4.73,97.90,182.94
AMD,10.42,18.46,77.15,143.90
ABMD,188.13,325.04,72.77,359.17
FTNT,43.76,70.43,60.94,359.40
AAP,98.24,153.58,56.32,239.88
ZBRA,104.10,159.23,52.95,595.20
PAYC,80.47,122.45,52.16,415.19
MTCH,35.19,52.26,48.51,132.25
CMG,290.90,431.79,48.43,1748.25
KEYS,41.90,62.08,48.16,206.51
HCA,84.66,121.17,43.11,256.92
ORLY,241.34,344.33,42.67,706.23
BSX,24.94,35.34,41.70,42.48
LLY,78.24,109.89,40.44,276.22
FOXA,33.08,46.18,39.62,36.90
FOX,32.83,45.81,39.54,34.27
MRK,49.99,69.58,39.20,76.64
NRG,26.50,36.87,39.14,43.08
MKC,47.95,66.59,38.87,96.61
AES,9.53,13.20,38.47,24.30
EW,37.22,51.05,37.15,129.55
NFLX,196.10,267.66,36.49,602.44
PTC,60.91,82.90,36.10,121.15
NOW,131.00,178.05,35.91,649.11
RMD,82.15,111.36,35.56,260.48
CHD,47.50,63.41,33.49,102.50
ILMN,224.78,299.93,33.43,380.44
CRM,102.88,136.97,33.13,254.13
DPZ,181.99,241.46,32.67,564.33
CME,130.08,171.78,32.05,228.46
LW,53.72,70.76,31.72,63.38
ISRG,122.63,159.64,30.18,359.30
VRSN,114.69,148.29,29.29,253.82
MSI,85.24,109.90,28.91,271.70
ADBE,175.85,226.24,28.65,567.06
AMZN,1172.00,1501.97,28.15,3334.34
XLNX,64.57,82.57,27.86,212.03
FE,26.08,33.24,27.41,41.59
ABT,54.51,68.98,26.53,140.74
INTU,153.62,192.79,25.49,643.22
MA,149.08,186.03,24.78,359.32
PFE,29.67,36.87,24.27,59.05
TDG,246.14,303.87,23.45,636.28
UAL,67.90,83.73,23.31,43.78
FFIV,131.64,162.03,23.08,244.71
STE,84.76,103.91,22.59,243.41
ADSK,105.34,128.61,22.09,281.19
BLL,36.86,44.89,21.78,96.27
GWW,220.93,267.90,21.26,518.24
UAA,14.59,17.67,21.11,21.19
UA,13.45,16.17,20.22,18.04
MSFT,82.13,98.54,19.97,336.32
TWTR,24.07,28.74,19.40,43.22
NKE,60.47,72.13,19.28,166.67
HRL,33.66,40.14,19.22,48.81
AJG,59.05,70.08,18.68,169.67
ZTS,70.86,84.06,18.63,244.03
TJX,36.66,43.38,18.32,75.92
IDXX,157.59,186.02,18.04,658.46
EXC,34.55,40.75,17.93,57.76
IQV,98.52,116.17,17.91,282.14
ANTM,214.84,253.11,17.81,463.54
TMO,188.90,222.23,17.64,667.24
CDW,66.67,78.37,17.55,204.78
ROL,19.86,23.25,17.08,34.21
MSCI,122.65,143.54,17.03,612.69
AZO,716.54,838.34,16.99,2096.38
DG,90.20,105.41,16.85,235.83
COO,217.74,254.36,16.81,418.94
CTXS,84.95,98.58,16.03,94.59
V,111.87,129.69,15.92,216.71
POOL,124.85,144.71,15.90,566.00
HUM,242.51,280.51,15.67,463.86
O,48.09,55.56,15.52,71.59
CSCO,34.29,39.59,15.45,63.37
ADP,106.51,122.90,15.38,246.58
LYV,42.73,49.25,15.25,119.69
COP,49.30,56.80,15.20,72.18
WELL,53.61,61.67,15.04,85.77
CNC,50.35,57.65,14.49,82.40
UNH,208.15,237.77,14.23,502.14
AMGN,157.25,179.61,14.21,224.97
AEE,53.62,61.12,13.99,89.01
TDY,181.84,207.07,13.87,436.89
YUM,76.64,87.25,13.84,138.86
SBUX,53.83,61.21,13.72,116.97
PEAK,21.77,24.76,13.68,36.09
NEE,35.94,40.76,13.41,93.36
PYPL,74.23,84.09,13.27,188.58
VRSK,94.62,106.94,13.01,228.73
MOS,25.14,28.39,12.94,39.29
AMT,132.45,149.58,12.93,292.50
CSX,17.66,19.93,12.85,37.60
MDT,75.74,85.25,12.54,103.45
TECH,126.84,142.64,12.45,517.34
TSCO,71.51,80.41,12.44,238.60
HSIC,70.36,78.52,11.59,77.53
FISV,65.98,73.49,11.38,103.79
DHR,91.49,101.90,11.37,329.01
BA,281.79,313.39,11.21,201.32
ECL,128.94,143.21,11.07,234.59
VZ,44.60,49.40,10.77,51.96
IPG,16.37,18.12,10.70,37.45
VRTX,150.00,165.71,10.47,219.60
ATO,78.37,86.46,10.32,104.77
ETR,70.77,77.96,10.16,112.65
FIS,90.08,99.14,10.05,109.15
COST,176.04,193.53,9.93,567.70
CPRT,43.52,47.78,9.78,151.62
GRMN,53.83,59.06,9.70,136.17
AON,129.33,141.54,9.43,300.56
NTAP,49.58,54.19,9.30,91.99
EVRG,46.90,51.24,9.25,68.61
PGR,49.80,54.33,9.09,102.65
ULTA,224.44,244.84,9.08,412.34
JKHY,112.18,122.34,9.05,166.99
CZR,33.30,36.21,8.73,93.53
RSG,63.12,68.39,8.34,139.45
CTAS,151.06,163.20,8.03,443.17
CMS,42.36,45.76,8.02,65.05
BRO,24.91,26.87,7.89,70.28
WEC,58.99,63.62,7.85,97.07
ICE,67.35,72.60,7.79,136.77
NDAQ,72.09,77.68,7.75,210.01
DISCA,22.96,24.74,7.75,23.54
BR,84.96,91.51,7.70,182.82
DISCK,21.48,23.08,7.44,22.90
DUK,71.14,76.24,7.16,104.90
PKI,72.88,77.94,6.94,201.06
EXR,76.99,82.31,6.90,226.73
KO,40.30,43.01,6.72,59.21
TSLA,62.40,66.56,6.66,1056.78
CLX,134.59,143.31,6.48,174.36
ES,56.23,59.84,6.42,90.98
UDR,33.79,35.90,6.26,59.99
BDX,204.15,216.62,6.10,251.48
DRI,88.44,93.79,6.04,150.64
AEP,63.89,67.69,5.95,88.97
EQR,56.33,59.64,5.87,90.50
CINF,67.91,71.76,5.67,113.93
OKE,40.30,42.58,5.67,58.76
XEL,43.02,45.43,5.60,67.70
SYY,54.91,57.96,5.54,78.55
AFL,40.13,42.35,5.51,58.39
MKTX,197.07,207.55,5.31,411.27
WRB,44.24,46.44,4.98,82.39
WM,80.34,84.33,4.96,166.90
ADM,35.61,37.37,4.94,67.59
MCD,157.74,165.32,4.80,268.07
PEG,44.94,47.04,4.67,66.73
TYL,177.83,185.82,4.49,537.95
NSC,135.63,141.67,4.45,297.71
INFO,45.71,47.72,4.39,132.92
TFX,244.70,255.45,4.39,328.48
CF,38.42,40.09,4.35,70.78
RHI,51.58,53.80,4.31,111.52
UNP,124.59,129.87,4.24,251.93
OMC,62.59,65.21,4.18,73.27
SRE,94.20,98.11,4.15,132.28
EXPD,63.16,65.69,4.00,134.29
ROST,78.36,81.49,3.99,114.28
DTE,95.21,99.01,3.98,119.54
MPWR,109.13,113.38,3.89,493.33
IT,123.24,127.84,3.73,334.32
ESS,216.06,224.11,3.72,352.23
INTC,42.00,43.57,3.71,51.50
TGT,59.73,61.92,3.66,231.44
