AAPL - Apple,AAPL/apple
MSFT - Microsoft,MSFT/microsoft
GOOGL - Alphabet,GOOGL/alphabet
GOOG - Alphabet,GOOG/alphabet
AMZN - Amazon,AMZN/amazon
TSLA - Tesla,TSLA/tesla
FB - Meta Platforms,FB/meta-platforms
NVDA - NVIDIA,NVDA/nvidia
BRK.A - Berkshire Hathaway,BRK.A/berkshire-hathaway
BRK.B - Berkshire Hathaway,BRK.B/berkshire-hathaway
UNH - UnitedHealth Group,UNH/unitedhealth-group
JPM - JPMorgan Chase,JPM/jpmorgan-chase
JNJ - Johnson & Johnson,JNJ/johnson-johnson
SPY - SPDR S&P 500 ETF,SPY/spdr-s-p-500-etf
HD - Home Depot,HD/home-depot
V - Visa,V/visa
WMT - Walmart,WMT/walmart
PG - Procter & Gamble,PG/procter-gamble
BAC - Bank Of America,BAC/bank-of-america
MA - Mastercard,MA/mastercard
BABA - Alibaba,BABA/alibaba
ASML - ASML Holding,ASML/asml-holding
PFE - Pfizer,PFE/pfizer
DIS - Disney,DIS/disney
AVGO - Broadcom,AVGO/broadcom
ADBE - Adobe,ADBE/adobe
NFLX - Netflix,NFLX/netflix
CSCO - Cisco,CSCO/cisco
LLY - Eli Lilly,LLY/eli-lilly
NKE - NIKE,NKE/nike
NVO - Novo Nordisk,NVO/novo-nordisk
TMO - Thermo Fisher Scientific,TMO/thermo-fisher-scientific
ACN - Accenture,ACN/accenture
XOM - Exxon,XOM/exxon
TM - Toyota,TM/toyota
KO - CocaCola,KO/cocacola
"CRM - Salesforce, Inc","CRM/salesforce,-inc"
COST - Costco,COST/costco
ABT - Abbott Laboratories,ABT/abbott-laboratories
ABBV - AbbVie,ABBV/abbvie
PEP - PepsiCo,PEP/pepsico
ORCL - Oracle,ORCL/oracle
DHR - Danaher,DHR/danaher
CMCSA - Comcast,CMCSA/comcast
CVX - Chevron,CVX/chevron
PYPL - PayPal Holdings,PYPL/paypal-holdings
VZ - Verizon,VZ/verizon
QQQ - Invesco QQQ,QQQ/invesco-qqq
INTC - Intel,INTC/intel
QCOM - QUALCOMM,QCOM/qualcomm
MCD - McDonald's,MCD/mcdonalds
WFC - Wells Fargo,WFC/wells-fargo
NVS - Novartis AG,NVS/novartis-ag
MRK - Merck,MRK/merck
UPS - UPS,UPS/ups
INTU - Intuit,INTU/intuit
NEE - NextEra Energy,NEE/nextera-energy
AZN - AstraZeneca,AZN/astrazeneca
MS - Morgan Stanley,MS/morgan-stanley
T - AT&T,T/at-t
LIN - Linde,LIN/linde
AMD - AMD,AMD/amd
TXN - Texas Instruments,TXN/texas-instruments
SHOP - Shopify,SHOP/shopify
LOW - Lowe's,LOW/lowes
SAP - SAP SE,SAP/sap-se
RDS.B - Royal Dutch Shell,RDS.B/royal-dutch-shell
RDS.A - Royal Dutch Shell,RDS.A/royal-dutch-shell
UNP - Union Pacific,UNP/union-pacific
SONY - Sony,SONY/sony
SCHW - Charles Schwab,SCHW/charles-schwab
RY - Royal Bank Of Canada,RY/royal-bank-of-canada
PM - Philip Morris,PM/philip-morris
TMUS - T-Mobile US,TMUS/t-mobile-us
HON - Honeywell,HON/honeywell
MDT - Medtronic,MDT/medtronic
AMAT - Applied Materials,AMAT/applied-materials
TD - Toronto Dominion Bank,TD/toronto-dominion-bank
BLK - BlackRock,BLK/blackrock
BMY - Bristol Myers Squibb,BMY/bristol-myers-squibb
UL - Unilever,UL/unilever
CVS - CVS Health,CVS/cvs-health
SBUX - Starbucks,SBUX/starbucks
AMT - American Tower,AMT/american-tower
TTE - TotalEnergies SE,TTE/totalenergies-se
EL - Estee Lauder,EL/estee-lauder
NOW - ServiceNow,NOW/servicenow
ISRG - Intuitive Surgical,ISRG/intuitive-surgical
GS - Goldman Sachs,GS/goldman-sachs
RTX - Raytheon Technologies,RTX/raytheon-technologies
DEO - Diageo,DEO/diageo
AMGN - Amgen,AMGN/amgen
AXP - American Express,AXP/american-express
SNY - Sanofi,SNY/sanofi
PLD - Prologis,PLD/prologis
HSBC - HSBC,HSBC/hsbc
C - Citigroup,C/citigroup
SE - Sea,SE/sea
IBM - IBM,IBM/ibm
BUD - Anheuser-Busch,BUD/anheuser-busch
BA - Boeing,BA/boeing
HDB - HDFC Bank,HDB/hdfc-bank
GSK - GlaxoSmithKline,GSK/glaxosmithkline
CHTR - Charter Communications,CHTR/charter-communications
ZTS - Zoetis,ZTS/zoetis
SPGI - S&P Global,SPGI/s-p-global
ANTM - Anthem,ANTM/anthem
CAT - Caterpillar,CAT/caterpillar
TGT - Target,TGT/target
INFY - Infosys,INFY/infosys
ABNB - Airbnb,ABNB/airbnb
MU - Micron Technology,MU/micron-technology
DE - Deere,DE/deere
SNOW - Snowflake,SNOW/snowflake
GE - General Electric,GE/general-electric
ADP - ADP,ADP/adp
MMM - 3M,MMM/3m
SYK - Stryker,SYK/stryker
MRNA - Moderna,MRNA/moderna
LRCX - Lam Research,LRCX/lam-research
BAM - Brookfield Asset Management Inc,BAM/brookfield-asset-management-inc
BKNG - Booking Holdings,BKNG/booking-holdings
LMT - Lockheed Martin,LMT/lockheed-martin
COP - ConocoPhillips,COP/conocophillips
JD - JD,JD/jd
RIVN - Rivian Automotive,RIVN/rivian-automotive
